Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Luis Miguel Afonso Fernandes,"CM, RM, CAM, CAM",1. Division (Cyprus),2024,2025,34,75,75,197965,"177cm / 5'10""",69kg / 152lbs,Right,76,CAM,0,"Sep 7, 2024",N/A,€2.6M,€27K,€5.7M,342,73,69,45,79,76,388,79,79,74,76,80,312,53,62,57,79,61,317,73,61,53,58,72,364,63,63,80,80,78,84,182,67,63,52,62,15,14,9,9,15,1967,402,4,3,N/A,N/A,3,Normal (170-185),Yes,58,72,77,76,61,58
Marcos Vinícius Sousa Natividade,"LM, LW, CAM, LM",1. Division (Cyprus),2022,2028,27,74+1,74+1,270478,"174cm / 5'9""",65kg / 143lbs,Right,74,LM,0,"Jul 8, 2022",N/A,€4.5M,€24K,€9.9M,325,67,72+2,59,68,59,345,75,67+3,61,66,76,390,86,85,72,68,79,321,70+2,68,69,49,65,290,70,23,69,68,60,61,67,18,27,22,58,8,10,14,15,11,1796,380,3,4,N/A,N/A,1,Lean (170-185),No,85,69,67,74,26,59
Vid Belec,"GK, GK",1. Division (Cyprus),2022,2027,34,73,73,193336,"193cm / 6'4""",84kg / 185lbs,Right,73,GK,0,"Jun 27, 2022",N/A,€525K,€15K,€1.2M,75,11,10,13,31,10,93,13,12,13,32,23,250,52,42,55,70,31,210,52,63,20,59,16,125,25,21,11,45,23,70,40,19,10,11,361,72,71,69,73,76,1154,409,3,1,N/A,N/A,1,Normal (185+),No,72,71,69,76,48,73
Youssef El Arabi,"ST, ST",1. Division (Cyprus),2024,2026,37,73,73,194209,"182cm / 6'0""",84kg / 185lbs,Right,73,ST,0,"Jul 13, 2024",N/A,€1M,€19K,€2.2M,354,58,77,72,68,79,348,72,70,71,60,75,318,58,60,70,72,58,346,74,76,50,75,71,322,51,44,78,68,81,69,97,25,30,42,50,6,16,11,6,11,1835,373,4,3,N/A,N/A,1,Normal (170-185),No,59,76,65,72,37,64
Max Meyer,"CAM, CM, CAM",1. Division (Cyprus),2024,2026,28,72,72,212150,"173cm / 5'8""",68kg / 150lbs,Right,72,CAM,0,"Jul 4, 2024",N/A,€2.4M,€23K,€5.3M,311,72,67,37,75,60,372,72,78,76,71,75,364,74,53,81,70,86,309,68,56,67,58,60,353,69,63,74,77,70,77,191,68,62,61,58,8,12,13,11,14,1958,400,4,4,N/A,N/A,1,Normal (170-185),Yes,62,66,74,75,61,62
Lasha Dvali,"CB, CB",1. Division (Cyprus),2022,2025,29,71,71,227766,"191cm / 6'3""",80kg / 176lbs,Left,71,CB,0,"Jul 29, 2022",N/A,€1.6M,€21K,€3.5M,233,29,35,73,64,32,236,38,48,37,63,50,263,53,54,49,68,39,331,57,79,76,81,38,249,72,73,29,43,32,54,209,67,72,70,56,11,6,15,12,12,1577,338,3,2,N/A,N/A,1,Normal (185+),No,54,39,51,45,71,78
Konstantinos Laifis,"CB, CB",1. Division (Cyprus),2024,2027,31,71,71,234774,"186cm / 6'1""",82kg / 181lbs,Left,71,CB,0,"Aug 13, 2024",N/A,€1.3M,€21K,€2.9M,311,61,46,72,68,64,333,68,64,60,71,70,318,56,62,64,73,63,366,71,76,77,74,68,315,69,73,58,57,58,71,213,71,72,70,59,15,8,13,13,10,1915,395,3,2,N/A,N/A,1,Normal (185+),No,59,58,64,68,72,74
Sergio Tejera Rodríguez,"CDM, CM, CDM",1. Division (Cyprus),2024,2025,34,70,70,184417,"180cm / 5'11""",75kg / 165lbs,Left,70,CDM,0,"Jul 1, 2024",N/A,€550K,€20K,€1.2M,319,67,61,59,70,62,344,68,71,68,68,69,334,70,63,73,66,62,364,74,72,80,73,65,354,78,69,68,68,71,72,198,63,69,66,58,12,7,16,9,14,1971,411,3,2,N/A,N/A,1,Lean (170-185),No,66,65,69,69,66,76
Dieumerci Ndongala,"RM, RW, RM",1. Division (Cyprus),2020,2025,33,70,70,204908,"170cm / 5'7""",59kg / 130lbs,Right,70,RM,0,"Aug 18, 2020",N/A,€1M,€20K,€2.2M,308,67,59,57,64,61,320,72,65,57,56,70,410,82,80,89,68,91,269,59,58,65,31,56,256,39,28,68,67,54,72,74,21,29,24,55,11,10,9,10,15,1692,349,3,3,N/A,N/A,1,Lean (170-),No,81,59,64,74,29,42
Mateo Sušić,"RB, RB",1. Division (Cyprus),2022,2025,33,69,69,216281,"181cm / 5'11""",75kg / 165lbs,Right,69,RB,0,"Jul 1, 2022",N/A,€725K,€19K,€1.6M,287,70,54,58,66,39,294,67,60,45,57,65,343,68,73,65,70,67,335,68,69,73,70,55,287,69,65,53,49,51,57,198,67,65,66,55,12,12,9,9,13,1799,390,3,2,N/A,N/A,1,Normal (170-185),No,71,56,61,66,65,71
