Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Lasse Berg Johnsen,"CDM, CM, CDM",Allsvenskan (Sweden),2023,2027,24,74,80,248166,"179cm / 5'10""",75kg / 165lbs,Right,75,CDM,6,"Jul 13, 2023",N/A,€6M,€7K,€9M,306,66,51,60,72,57,326,67,64,51,74,70,356,69,65,77,71,74,373,66,76,91,78,62,326,81,68,59,66,52,71,210,70,71,69,53,8,8,13,11,13,1950,413,3,2,N/A,N/A,1,Normal (170-185),No,67,57,68,70,69,82
Jens Stryger Larsen,"RB, LM, RM, RB",Allsvenskan (Sweden),2024,2026,33,73,73,193133,"180cm / 5'11""",82kg / 181lbs,Right,73,RB,0,"Feb 1, 2024",N/A,€1.6M,€8K,€2.1M,316,70,58,60,68,60,312,68,61,48,65,70,368,74,77,71,72,74,364,69,78,85,76,56,327,78,69,63,67,50,65,211,71,71,69,43,7,8,12,7,9,1941,419,3,3,N/A,N/A,1,Normal (170-185),No,76,60,66,69,69,79
Pontus Jansson,"CB, CB",Allsvenskan (Sweden),2023,2027,33,73,73,194201,"194cm / 6'4""",86kg / 190lbs,Right,73,CB,0,"Jul 1, 2023",N/A,€1.5M,€8K,€2M,239,29,36,70,63,41,270,58,49,40,58,65,252,48,50,48,72,34,353,68,76,71,88,50,268,77,74,28,50,39,75,217,75,71,71,41,9,5,14,6,7,1640,358,3,2,N/A,N/A,1,Normal (185+),Yes,49,45,51,59,73,81
Gabriel Dal Toé Busanello,"LB, CDM",Allsvenskan (Sweden),2023,2027,25,73,75-3,273694,"180cm / 5'11""",75kg / 165lbs,Left,74,CDM,2,"Feb 1, 2023",N/A,€3.5M,€7K,€4.8M,316,74,54,62,71,55,345,68,67,68,70,72,357,74,76,75,70,62,369,67,79,88,77,58,329,84,68,59,71,47,72,201,66,71,64,50,8,11,9,8,14,1967,421,2,3,N/A,N/A,1,Normal (170-185),No,75,57,71,70,67,81
Marcus Danielson,"CB, CB",Allsvenskan (Sweden),2022,2025,35,73,73,208440,"192cm / 6'4""",80kg / 176lbs,Right,73,CB,0,"Jul 19, 2022",N/A,€800K,€6K,€1M,234,32,43,73,61,25,212,52,26,19,62,53,228,43,43,40,66,36,284,36,77,58,86,27,280,78,73,28,44,57,70,222,76,75,71,67,15,16,12,9,15,1527,331,3,3,N/A,N/A,1,Lean (185+),No,43,37,48,52,74,77
Jacob Rinne,"GK, GK",Allsvenskan (Sweden),2024,2028,31,73,73,221584,"188cm / 6'2""",87kg / 192lbs,Left,73,GK,0,"Aug 12, 2024",N/A,€1.6M,€5K,€2M,100,15,15,16,40,14,137,16,17,15,59,30,241,46,47,47,68,33,239,55,66,35,68,15,152,27,15,14,70,26,66,53,23,14,16,363,73,71,73,71,75,1285,409,3,1,N/A,N/A,1,Normal (185+),No,73,71,73,75,46,71
Mikkel Rygaard,"CM, CAM, CAM",Allsvenskan (Sweden),2022,2026,33,73,73,234488,"176cm / 5'9""",69kg / 152lbs,Left,74,CAM,0,"Jan 8, 2022",N/A,€1.9M,€7K,€2.4M,338,71,71,48,78,70,367,72,78,72,74,71,380,72,57,87,75,89,345,72,64,71,65,73,344,70,63,73,77,61,74,185,63,62,60,58,13,9,11,12,13,2017,413,3,3,N/A,N/A,1,Lean (170-185),No,64,71,76,74,61,67
Anders Christiansen,"CM, CAM, CM",Allsvenskan (Sweden),2018,2024,34,72,72,199792,"175cm / 5'9""",68kg / 150lbs,Right,72,CM,0,"Jul 15, 2018",N/A,€1.1M,€8K,€1.4M,335,66,70,62,72,65,354,72,69,69,73,71,383,72,66,85,76,84,360,71,72,80,64,73,367,82,70,74,71,70,74,193,62,65,66,45,16,6,8,6,9,2037,421,3,4,N/A,N/A,1,Lean (170-185),No,69,71,70,74,65,72
Isaac Kiese Thelin,"ST, ST",Allsvenskan (Sweden),2022,2027,32,72,72,205985,"189cm / 6'2""",82kg / 181lbs,Right,72,ST,0,"Mar 16, 2022",N/A,€1.9M,€8K,€2.5M,328,46,77,73,64,68,288,66,51,45,59,67,303,47,68,63,74,51,383,75,79,75,88,66,330,78,32,76,72,72,73,90,45,25,20,58,11,16,11,12,8,1780,378,3,3,N/A,N/A,1,Lean (185+),Yes,59,74,60,66,37,82
Sergio Peña,"CM, CDM, CM",Allsvenskan (Sweden),2021,2025,28,72,72,236259,"178cm / 5'10""",70kg / 154lbs,Right,72,CM,0,"Aug 4, 2021",N/A,€2.3M,€8K,€3M,338,73,62,57,78,68,371,74,73,71,78,75,345,56,50,81,66,92,348,72,67,72,71,66,344,70,63,62,78,71,82,168,57,58,53,46,5,12,13,10,6,1960,400,3,4,N/A,N/A,1,Normal (170-185),No,53,66,76,76,58,71
Arbër Zeneli,"LW, LM, LW",Allsvenskan (Sweden),2024,2027,29,72,72,221919,"176cm / 5'9""",72kg / 159lbs,Right,72,LW,0,"Mar 21, 2024",N/A,€2.3M,€6K,€2.9M,330,76,68,50,73,63,357,76,79,68,59,75,358,70,69,75,69,75,317,74,58,61,53,71,309,62,39,64,73,71,70,90,33,33,24,49,10,8,10,7,14,1810,378,3,4,N/A,N/A,1,Lean (170-185),No,69,70,72,75,35,57
David Moberg Karlsson,"CAM, RM, LW",Allsvenskan (Sweden),2024,2026,30,72,72,209039,"178cm / 5'10""",74kg / 163lbs,Left,73,LW,0,"Jul 27, 2024",N/A,€2.3M,€7K,€2.9M,316,71,68,48,68,61,365,77,75,75,65,73,394,84,90,79,67,74,328,70,67,62,59,70,279,49,21,68,69,72,74,85,38,24,23,50,10,14,8,8,10,1817,388,4,3,N/A,N/A,1,Normal (170-185),No,87,69,69,75,30,58
