Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Harry Kane,"ST, ST",Bundesliga (Germany),2023,2027,30,90,90,202126,"188cm / 6'2""",86kg / 190lbs,Right,90,ST,0,"Aug 12, 2023",N/A,€117.5M,€170K,€193.9M,441,80,95,91,86,89,408,82,82,69,88,87,363,64,66,66,94,73,431,94,87,75,86,89,396,80,42,94,86,94+1,92,130,46,46,38,54,8,10,11,14,11,2223,456,4,3,N/A,N/A,5,Unique,Yes,65,93,84,83,49,82
Gregor Kobel,"GK, GK",Bundesliga (Germany),2021,2028,26,88,90,235073,"195cm / 6'5""",88kg / 194lbs,Right,88,GK,2,"Jul 1, 2021",N/A,€86M,€62K,€152.7M,85,13,10,13,39,10,116,24,13,12,33,34,242,38,52,37,86,29,247,55,71,30,81,10,119,24,14,10,59,12,66,45,15,15,15,422,87,86,73,87,89,1276,466,3,1,N/A,N/A,4,Normal (185+),Yes,87,86,73,89,44,87
Florian Wirtz,"CAM, LM, CAM",Bundesliga (Germany),2020,2027,21,88,92,256630,"177cm / 5'10""",71kg / 157lbs,Right,90,CAM,4,"Jan 31, 2020",N/A,€133.5M,€115K,€230.3M,376,84,79,42,91,80,418,90,82,69,87,90,424,81,81,87,88,87,367,78,64,87,59,79,345,63,44,83,91,64,85,151,58,49,44,57,14,14,13,6,10,2138,452,4,4,N/A,N/A,4,Normal (170-185),Yes,81,78,87,89,50,67
Jamal Musiala,"CAM, LM, CM, CAM",Bundesliga (Germany),2020,2026,21,87,93,256790,"184cm / 6'0""",72kg / 159lbs,Right,89,CAM,6,"Jun 3, 2020",N/A,€128M,€87K,€236.8M,364,67,84,56+7,84,73,391,94,75,59,79,84,442,86,83,93,87,93,368,80,72+3,78,59,79,353,59,65,86,84,59,83,193,64,63,66,42,6,9,8,8,11,2153,460,4,5,N/A,N/A,4,Lean (170-185),Yes,84,81,78,90,63,64
Joshua Kimmich,"RB, CDM, CM, RB",Bundesliga (Germany),2015,2025,29,86,86,212622,"177cm / 5'10""",75kg / 165lbs,Right,86,RB,0,"Jul 1, 2015",N/A,€59.5M,€105K,€98.2M,388,91,68,72,88,69,422,82,85,79,91,85,394,77,62,83,88,84,396,78,79,88,68,83,403,86,85,78,85,69,86,246,81,82,83,60,8,15,7,15,15,2309,473,4,3,N/A,N/A,4,Normal (170-185),Yes,69,74,88,84,81,77
Granit Xhaka,"CDM, CM, CDM",Bundesliga (Germany),2023,2028,31,86,86,199503,"186cm / 6'1""",80kg / 176lbs,Left,86,CDM,0,"Jul 6, 2023",N/A,€47.5M,€130K,€78.4M,356,77,67,68,89,55,404,73,80,78,90,83,298,48,52,51,86,61,405,90,70,83,78,84,395,91-2,79,76,84,65,81,239,82,79,78,46,7,8,11,7,13,2143,444,3,3,N/A,N/A,4,Normal (185+),Yes,50,75,85,74,79,81
Alejandro Grimaldo García,"LM, LB, LM",Bundesliga (Germany),2023,2027,28,86,86,210035,"171cm / 5'7""",68kg / 150lbs,Left,86,LM,0,"Jul 1, 2023",N/A,€68.5M,€135K,€113M,372,93,67,62,87,63,434,85,89,89,85,86,404,77,71,84,86,86,393,84,73,90,63,83,366,69,79,79,85,54,83,228,76,78,74,50,7,13,10,7,13,2247,467,2,4,N/A,N/A,4,Normal (170-185),Yes,74,73,88,85,76,71
Jonathan Tah,"CB, CB",Bundesliga (Germany),2015,2025,28,86,87,213331,"195cm / 6'5""",94kg / 207lbs,Right,86,CB,1,"Jul 16, 2015",N/A,€64.5M,€130K,€111.3M,289,39,32,87,78,53,259,60,37,27,68,67,312,53,86,49,84,40,333,60,86,69,92,26,296,83,83,36,56,38,79,255,87,87,81,49,11,8,7,9,14,1793,401,3,2,N/A,N/A,3,Stocky (185+),Yes,71,38,60,62,86,84
Manuel Neuer,"GK, GK",Bundesliga (Germany),2011,2025,38,85-1,85-1,167495,"193cm / 6'4""",93kg / 205lbs,Right,85,GK,0,"Jul 1, 2011",N/A,€6M,€39K,€9.9M,124,15,13,25,60,11,166,30,14,11,67-1,44,259,44-4,46-4,51,83-1,35,283,68,76-1,43,80,16,188,29,30,12,68-2,49,67-3,38,17,10,11,422,82-1,81,90,86-2,83,1480,467,4,1,N/A,N/A,4,Unique,Yes,82,81,90,83,45,86
Leroy Sané,"RM, LM, RW, RM",Bundesliga (Germany),2020,2025,28,85,85,222492,"183cm / 6'0""",80kg / 176lbs,Left,85,RM,0,"Jul 15, 2020",N/A,€54.5M,€100K,€89.9M,394,81,83,64,82,84,407,87,83,80,72,85,432,89,91,87,83,82,385,87,72,78,67,81,327,65,34,82,81,65,83,103,36,32,35,52,8,12,9,9,14,2100,446,2,4,N/A,N/A,4,Unique,Yes,90,83,80,86,37,70
João Maria Palhinha Gonçalves,"CDM, CM, CDM",Bundesliga (Germany),2024,2028,28,85,85,229391,"190cm / 6'3""",83kg / 183lbs,Right,85,CDM,0,"Jul 11, 2024",N/A,€47.5M,€100K,€78.4M,341,60,66,81,79,55,348,77,66,45,80,80,284,54,50,51,79,50,409,81,84,87,90,67,379,95,86,69,72,57,84,258,83,88,87,46,14,10,8,7,7,2065,441,4,2,N/A,N/A,3,Lean (185+),Yes,52,68,72,74,85,90
Julian Brandt,"CAM, RM, CM, CAM",Bundesliga (Germany),2019,2026,28,85,85,212194,"185cm / 6'1""",83kg / 183lbs,Right,85,CAM,0,"Jul 1, 2019",N/A,€54.5M,€83K,€92.7M,382,82,80,54,87,79,411,85-1,80,76,83,87,399,69,78+6,83,86,83,388,82,69,85,72,80,326,45,56,82,88+1,55,85+1,150,49,45,56,55,11,16,11,8,9,2111,443,4,4,N/A,N/A,3,Lean (170-185),Yes,74,79,85,85,50,70
Nico Schlotterbeck,"CB, CB",Bundesliga (Germany),2022,2027,24,85,88,247819,"191cm / 6'3""",86kg / 190lbs,Left,87,CB,3,"Jul 1, 2022",N/A,€66M,€65K,€117.2M,323,53,51,85,78,56,323,74,52,41,85,71,369,78,76,68,83,64,390,75,91,74,84,66,334,83,83,58,72,38,78,258,85,87,86,53,8,10,8,14,13,2050,446,2,2,N/A,N/A,3,Normal (185+),Yes,77,59,70,73,85,82
Loïs Openda,"ST, ST",Bundesliga (Germany),2023,2028,24,85,87,243580,"177cm / 5'10""",75kg / 165lbs,Right,86,ST,2,"Jul 14, 2023",N/A,€71M,€84K,€126M,388,69,87,79,75,78,340,79,66,53,59,83,438,94,93+1,82,84,85,414,85,93,79,80,77,330,74,26,86,69,75,81,71,29,23,19,48,9,8,10,8,13,2029,437,4,3,N/A,N/A,3,Normal (170-185),Yes,93,84,69,81,31,79
Kingsley Coman,"LM, RM, LM",Bundesliga (Germany),2015,2027,28,84,84,213345,"181cm / 5'11""",75kg / 165lbs,Right,84,LM,0,"Aug 30, 2015",N/A,€42.5M,€95K,€70.1M,373,80,74,61,80,78,401,88,83,70,73,87,438,92,87,91,84,84,367,82,79,68,66,72,287,38,23,81,80,65,78,77,29,27,21,21,5,3,5,3,5,1964,422,3,5,N/A,N/A,3,Unique,Yes,89,75,79,87,30,62
Marcel Sabitzer,"CM, CAM, CDM, CM",Bundesliga (Germany),2023,2027,30,84,84,204923,"178cm / 5'10""",76kg / 168lbs,Right,84,CM,0,"Jul 24, 2023",N/A,€40.5M,€75K,€68.9M,386,77,81,60,84,84,402,81,77,78,82,84,394,78,74,78,86,78,408,88,72,85,76,87,407,79,81,85-1,82,80,84,224,76,78,70,66,11,13,14,15,13,2287,477,4,3,N/A,N/A,3,Normal (170-185),Yes,76,84,81,82,75,79
