Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Maximilian Wöber,"CB, CB",Championship (England),2023,2027,26,77,78,231838,"188cm / 6'2""",85kg / 187lbs,Left,78,CB,1,"Jan 3, 2023",N/A,€11M,€53K,€21.7M,288,63,41,78,72,34,333,63,65,69,69,67,322,62,67,62,76,55,355,67,77,67,82,62,332,83,75,56,60,58,67,234,78,79,77,62,13,13,14,14,8,1926,405,2,2,N/A,N/A,1,Normal (185+),No,65,52,67,65,78,78
Alfie Doughty,"LB, LM, LB",Championship (England),2022,2025,24,77,80,252483,"183cm / 6'0""",68kg / 150lbs,Left,77,LB,3,"Jun 20, 2022",N/A,€13.5M,€30K,€26.7M,325,83,55,66,73,48,369,75,81,70,71,72,367,84,81,69,74,59,346,61,78,82,65,60,329,65,72,69,73,50,69,213,70,73,70,52,15,10,11,11,5,2001,427,3,2,N/A,N/A,1,Lean (170-185),Yes,82,57,75,72,71,70
Manor Solomon,"LM, LW, RM, CAM",Championship (England),,"Jun 30, 2025 On loan",24,76,79,246791,"170cm / 5'7""",65kg / 143lbs,Right,77,CAM,3,"Jul 11, 2023","Jun 30, 2025",€10M,€66K,€0,307,73,75,38,75,46,379,84,79,72,69,75,397,84,81,84,66,82,297,76,50,66,34,71,267,30,35,72,72,58,78,132,50,47,35,55,12,11,9,13,10,1834,392,4,4,N/A,N/A,1,Normal (170-),Yes,82,72,73,80,43,42
Salis Abdul Samed,"CDM, CM, CDM",Championship (England),,"Jun 30, 2025 On loan",24,76,79,252059,"179cm / 5'10""",69kg / 152lbs,Right,77,CDM,3,"Jul 1, 2022","Jun 30, 2025",€9.5M,€25K,€0,280,48,51,67,76,38,294,66,49,34,71,74,329,61,59,65,74,70,328,49,73,88,73,45,332,82,74,58,73,45,74,221,74,77,70,51,11,14,8,11,7,1835,397,2,2,N/A,N/A,1,Lean (170-185),No,60,49,66,69,74,79
Gustavo Hamer,"CM, CAM, LM, CM",Championship (England),2023,2027,27,76,77,234741,"169cm / 5'7""",61kg / 134lbs,Right,77,CM,1,"Aug 11, 2023",N/A,€8.5M,€51K,€16.8M,357,75,67,70,77,68,373,71,74,73,79,76,379,70,68,77,75,89,378,76,74,83,70,75,369,87,76,69,77,60,72,217,73,74,70,45,12,7,7,9,10,2118,440,3,3,N/A,N/A,1,Stocky (170-),Yes,69,70,77,74,73,77
Josh Cullen,"CDM, CM, CDM",Championship (England),2022,2027,28,76,76,228151,"175cm / 5'9""",70kg / 154lbs,Right,76,CDM,0,"Jul 12, 2022",N/A,€6.5M,€58K,€12.4M,315,73,55,61,78,48,360,69,68,72,75,76,354,69,54,75,76,80,355,68,69,85,63,70,340,68,75,66,73,58,79,219,72,75,72,56,9,12,15,11,9,1999,412,3,3,N/A,N/A,1,Normal (170-185),Yes,61,61,75,73,72,70
Jordan Beyer,"CB, CB",Championship (England),2023,2027,24,76,80,242660,"187cm / 6'2""",80kg / 176lbs,Right,78,CB,4,"May 10, 2023",N/A,€9.5M,€48K,€18.8M,269,61,29,74,74,31,289,69,44,35,69,72,349,67,76,68,74,64,302,46,81,68,77,30,295,75,75,48,55,42,74,228,75,77,76,49,7,7,13,11,11,1781,390,3,2,N/A,N/A,1,Normal (185+),Yes,72,34,63,70,76,75
Joe Rodon,"CB, CB",Championship (England),2024,2028,26,75,78,229266,"193cm / 6'4""",88kg / 194lbs,Right,77,CB,3,"Jul 2, 2024",N/A,€6.5M,€47K,€12.8M,237,34,23,73,73,34,246,53,34,32,63,64,330,65,74,55,77,59,320,61,81,74,80,24,241,71,76,23,31,40,70,229,77,76,76,49,10,13,7,11,8,1652,365,4,2,N/A,N/A,1,Lean (185+),Yes,70,32,51,59,76,77
Daniel James,"RM, LM, ST, RM",Championship (England),2021,2026,26,75,75-1,232104,"171cm / 5'7""",63kg / 139lbs,Right,75,RM,0,"Aug 31, 2021",N/A,€6M,€49K,€11.4M,321,73,72,50,68,58,331,72,73,54,58,74,428,94,93,83,76,82,339,73,71,74,56,65,324,79,42,74,65,64,65,131,52,45,34,48,7,6,11,15,9,1922,415,4,3,N/A,N/A,1,Lean (170-185),Yes,93,70,66,74,46,66
Ethan Ampadu,"CB, CDM, CDM",Championship (England),2023,2027,23,75,81,235735,"183cm / 6'0""",78kg / 172lbs,Right,77,CDM,6,"Jul 19, 2023",N/A,€8M,€40K,€16.8M,278,46,51,69,77,35,294,67,47,36,72,72,347,68,68,67,76,68,338,55,76,80,75,52,318,78,77,59,65,39,74,228,76,77,75,54,13,12,9,8,12,1857,405,4,2,N/A,N/A,2,Unique,Yes,68,51,64,69,76,77
Pascal Struijk,"CB, LB, CB",Championship (England),2018,2027,24,75+1,80+1,239360,"190cm / 6'3""",79kg / 174lbs,Left,77,CB,5,"Jan 30, 2018",N/A,€7.5M,€40K,€14.8M,264,42,42,73,73,34,275,62,42,32,69,70,290,55,56,53,73,53,334,67,79,74,82+1,32,313,74,75,44,56,64,75,223,75+1,74,74+1,54,14,8,8,10,14,1753,377,4,2,N/A,N/A,1,Normal (185+),Yes,56,46,59,64,74,78
Mike Trésor,"LM, CAM, CAM",Championship (England),2023,2028,25,75,77,253150,"172cm / 5'8""",66kg / 146lbs,Right,76,CAM,2,"Sep 1, 2023",N/A,€7M,€53K,€13.8M,312,76,67,29,73,67,380,77,82,78,68,75,402,82,85,86,70,79,314,68,55,69,52,70,313,58,45,69,75,66,72,108,41,35,32,58,14,9,12,11,12,1887,399,3,4,N/A,N/A,1,Lean (170-185),No,84,68,74,77,38,58
Ben Sheaf,"CDM, CM, CDM",Championship (England),2021,2026,26,75,78,225779,"185cm / 6'1""",74kg / 163lbs,Right,76,CDM,3,"Jul 1, 2021",N/A,€6.5M,€38K,€12.8M,315,65,50,65,77,58,344,72,64,62,75,71,319,56,60,67,68,68,334,59,71,75,74,55,342,75,75,63,69,60,76,221,74,76,71,64,15,10,15,13,11,1939,402,3,2,N/A,N/A,1,Lean (185+),No,58,54,71,71,74,74
