Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Carlos Lampe,"GK, GK",División de Fútbol Profesional (Bolivia),2023,2024,37,73,73,196885,"192cm / 6'4""",84kg / 185lbs,Right,73,GK,0,"Jan 1, 2023",N/A,€350K,€9K,€753K,80,14,17,12,25,12,122,20,33,18,21,30,203,32,37,32,69,33,238,52,61,35,70,20,153,40,27,17,55,14,52,69,23,24,22,361,72,71,69,75,74,1226,395,3,1,N/A,N/A,1,Normal (185+),No,72,71,69,74,34,75
Patricio Rodríguez,"LW, LM, ST, LW",División de Fútbol Profesional (Bolivia),2022,2024,34,71,71,207454,"170cm / 5'7""",60kg / 132lbs,Right,71,LW,0,"Jan 1, 2022",N/A,€875K,€24K,€1.9M,316,70,70,40,66,70,363,76,72,78,66,71,381,79,77,80,63,82,249,65,47,43,34,60,281,26,42,71,68,74,63,76,16,31,29,52,14,7,12,8,11,1718,351,3,4,N/A,N/A,1,Lean (170-),No,78,67,68,74,29,35
Anderson de Jesus Santos,"CB, CB",División de Fútbol Profesional (Bolivia),2024,2024,29,71,71,266250,"189cm / 6'2""",77kg / 170lbs,Right,71,CB,0,"Jul 1, 2024",N/A,€1.6M,€21K,€3.4M,207,29,26,74,47,31,188,34,27,34,45,48,280,54,61,42,66,57,295,44,79,67,81,24,254,74,69,29,42,40,69,223,71,77,75,44,6,10,9,11,8,1491,321,2,2,N/A,N/A,1,Normal (185+),No,58,30,40,44,73,76
Bruno Sávio da Silva,"RW, ST, RM, RW",División de Fútbol Profesional (Bolivia),2023,2024,29,70,70,233623,"184cm / 6'0""",70kg / 154lbs,Right,70,RW,0,"Jul 4, 2023",N/A,€1.6M,€22K,€3.4M,315,65,73,64,68,45,308,71,48,68,55,66,356,72,72,71,73,68,341,65,74,66,68,68,264,31,25,72,66,70,59,59,28,17,14,52,7,10,15,12,8,1695,360,3,4,N/A,N/A,1,Normal (170-185),No,72,69,64,69,26,60
Guillermo Viscarra,"GK, GK",División de Fútbol Profesional (Bolivia),2021,2025,31,70,70,236241,"190cm / 6'3""",80kg / 176lbs,Right,70,GK,0,"Jan 16, 2021",N/A,€850K,€14K,€1.8M,59,11,5,10,24,9,69,8,13,13,21,14,165,21,31,23,63,27,182,49,48,28,51,6,66,11,7,7,24,17,41,40,18,12,10,347,72,68,65,71,71,928,372,3,1,N/A,N/A,1,Normal (185+),No,72,68,65,71,25,71
Alain Baroja,"GK, GK",División de Fútbol Profesional (Bolivia),2023,2024,34,70,70,217095,"185cm / 6'1""",80kg / 176lbs,Right,70,GK,0,"Dec 26, 2023",N/A,€275K,€8K,€591K,85,13,13,15,26,18,99,19,13,14,32,21,244,42,42,32,71,57,230,45,63,44,66,12,150,19,22,19,65,25,33,52,18,15,19,338,71,67,60,66,74,1198,380,3,1,N/A,N/A,1,Normal (185+),No,71,67,60,74,42,66
Alejandro Granell Nogué,"CDM, CM, CAM",División de Fútbol Profesional (Bolivia),2024,2024,35,69,69,223682,"175cm / 5'9""",70kg / 154lbs,Left,70,CAM,0,"Jul 1, 2024",N/A,€400K,€14K,€860K,325,73,69,55,72,56,365,69,80,76,74,66,335,65,57,69,67,77,348,73,66,68,65,76,359,70,68,72,74,75,71,190,60,66,64,60,6,13,13,14,14,1982,405,4,3,N/A,N/A,1,Normal (170-185),Yes,61,71,74,69,63,67
Henry Vaca,"LW, LM, RW, LM",División de Fútbol Profesional (Bolivia),2024,2024,26,69,70,246067,"166cm / 5'5""",72kg / 159lbs,Left,70,LM,1,"Mar 7, 2024",N/A,€1.6M,€20K,€3.6M,299,63,68,35,65,68,347,74,65,72,66,70,387,80,81,77,59,90,312,70,51,80,46,65,265,38,27,62,63,75,60,110,38,32,40,50,7,10,14,14,5,1770,373,3,4,N/A,N/A,1,Normal (170-),No,81,68,65,72,34,53
Michael Ortega,"CAM, LM, ST, CAM",División de Fútbol Profesional (Bolivia),2022,2024,33,69,69,200120,"171cm / 5'7""",70kg / 154lbs,Right,69,CAM,0,"Jul 20, 2022",N/A,€875K,€21K,€1.9M,317,67,64,53,72,61,340,72,57,72,68,71,331,65,56,64,64,82,325,68,63,67,64,63,287,31,43,69,70,74,69,92,28,35,29,56,15,10,12,13,6,1748,359,3,3,N/A,N/A,1,Normal (170-185),No,60,65,69,71,36,58
Jefferson Tavares Da Silva,"ST, ST",División de Fútbol Profesional (Bolivia),2024,2024,34,69,69,259793,"188cm / 6'2""",79kg / 174lbs,Right,69,ST,0,"Jan 3, 2024",N/A,€675K,€16K,€1.5M,292,34,73,75,35,75,260,67,50,51,29,63,326,63,67,57,69,70,373,75,81,68,77,72,237,35,13,72,42,75,72,38,13,14,11,56,13,15,10,12,6,1582,326,4,2,N/A,N/A,1,Normal (185+),No,65,73,37,65,19,67
