Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Kamil Grosicki,"LM, LW, RW",Ekstraklasa (Poland),2021,2026,36,74,74,177922,"180cm / 5'11""",78kg / 172lbs,Right,75,RW,0,"Aug 21, 2021",N/A,€1.4M,€5K,€1.9M,350,74,71,63,74,68,360,74,74,69,70,73,400,83,84,85,72,76,336,71,77,55,65,68,311,47,48,72,74,70,74,84,36,28,20,66,16,10,15,14,11,1907,399,3,3,N/A,N/A,1,Normal (170-185),Yes,84,70,73,75,37,60
Iván López Álvarez,"CAM, ST, CAM",Ekstraklasa (Poland),2020,2026,30,73,73,222467,"174cm / 5'9""",70kg / 154lbs,Right,73,CAM,0,"Sep 1, 2020",N/A,€2.9M,€12K,€3.9M,339,68,74,59,72,66,376,72,79,80,69,76,375,72,74,79,69,81,351,74,71,67,67,72,318,58,41,74,70,75,74,101,36,36,29,59,13,15,12,7,12,1919,395,3,3,N/A,N/A,1,Normal (170-185),Yes,73,73,71,74,39,65
Lukas Podolski,"CAM, ST, ST",Ekstraklasa (Poland),2021,2025,39,72,72,150516,"183cm / 6'0""",88kg / 194lbs,Left,73,ST,0,"Jul 6, 2021",N/A,€750K,€6K,€1M,366,70,73,65,74,84,366,71,74,73,73,75,294,43,54,58,73,66,356,90,68,48,76,74,335,71,36,77,74,77,80,95,30,35,30,53,10,9,16,9,9,1865,375,3,3,N/A,N/A,1,Normal (170-185),Yes,49,78,73,71,36,68
Bartosz Salamon,"CB, CB",Ekstraklasa (Poland),2021,2026,33,72,72,189558,"194cm / 6'4""",84kg / 185lbs,Right,72,CB,0,"Jan 25, 2021",N/A,€1.1M,€9K,€1.5M,235,38,35,70,68,24,282,51,45,59,67,60,243,46,46,50,67,34,367,73,77,66,93,58,267,67,72+1,30,57,41,63,214,72,75,67,57,14,9,9,13,12,1665,357,3,2,N/A,N/A,1,Normal (185+),No,46,47,58,54,72,80
Jesús Imaz Ballesté,"CAM, ST, CAM",Ekstraklasa (Poland),2019,2026,33,72,72,224146,"174cm / 5'9""",70kg / 154lbs,Right,72,CAM,0,"Feb 1, 2019",N/A,€1.5M,€9K,€2M,327,62,73,56,71,65,332,73,60,55,71,73,394,81,80,84,67,82,358,72,73,81,63,69,282,37,34,70,69,72,61,78,31,24,23,51,7,9,15,8,12,1822,386,4,4,N/A,N/A,1,Normal (170-185),No,80,71,67,74,31,63
Rafał Gikiewicz,"GK, GK",Ekstraklasa (Poland),2024,2025,36,71-1,71-1,194333,"190cm / 6'3""",82kg / 181lbs,Right,71,GK,0,"Feb 13, 2024",N/A,€210K,€2K,€284K,102,18,13,32,24,15,88,18,19,12,20,19,207,27,29,38,73,40,212,47-1,64-1,20,68,13,121,30,12,12,48,19,31,40,13,14,13,345,71-2,68,63-1,72-2,71,1115,373,2,1,N/A,N/A,1,Normal (185+),Yes,71,68,63,71,28,72
Mikael Ishak,"ST, ST",Ekstraklasa (Poland),2020,2025,31,71,71,206626,"184cm / 6'0""",81kg / 179lbs,Right,71,ST,0,"Jul 20, 2020",N/A,€1.6M,€10K,€2.2M,336,57,73,70,66,70,269,63,38,47,55,66,338,69,74,62,66,67,383,73,84,71,90,65,300,66,30,72,59,73,66,106,24,42,40,62,12,11,15,15,9,1794,383,4,3,N/A,N/A,1,Normal (170-185),Yes,72,71,59,64,37,80
Patrik Wålemark,"RM, RW, LM, CAM",Ekstraklasa (Poland),,"Jun 30, 2025 On loan",22,71,76,254148,"183cm / 6'0""",73kg / 161lbs,Left,72,CAM,5,"Jan 17, 2022","Jun 30, 2025",€2.9M,€13K,€0,294,67,68,36,68,55,344,74,73,64,60,73,363,77,70,84,63,69,326,68,53,74,64,67,274,50,35,70,70,49,65,85,33,29,23,49,8,10,12,14,5,1735,374,2,4,N/A,N/A,1,Normal (170-185),No,73,66,67,73,32,63
Joel Vieira Pereira,"RB, RB",Ekstraklasa (Poland),2021,2027,27,71,71,258276,"178cm / 5'10""",73kg / 161lbs,Right,71,RB,0,"Jul 1, 2021",N/A,€1.8M,€9K,€2.4M,277,75,35,49,68,50,328,68,69+3,53,71,67,349,77,69,72,65,66,311,54,66,83,62,46,289,60,67,52,68,42,57,198,65,67,66,51,14,9,6,13,9,1803,384,3,3,N/A,N/A,1,Lean (170-185),No,73,43,69,67,65,67
Rúben Nascimento Vinagre,"LB, LM, LM",Ekstraklasa (Poland),,"Jun 30, 2025 On loan",25,71,75,235172,"174cm / 5'9""",66kg / 146lbs,Left,74,LM,4,"Jun 8, 2022","Jun 30, 2025",€2.4M,€10K,€0,305,76,52,57,73,47,347,76,72,59,66,74,397,82,82,83,72,78,303,64,70,66,55,48,323,66,64,70,65,58,70,194,63,66,65,42,11,8,8,9,6,1911,408,2,4,N/A,N/A,1,Unique,Yes,82,55,70,76,64,61
Fran Tudor,"RM, CB, RWB",Ekstraklasa (Poland),2020,2027,28,71,71,254822,"173cm / 5'8""",68kg / 150lbs,Right,72,RWB,0,"Feb 1, 2020",N/A,€1.9M,€11K,€2.6M,307,70,60,63,63,51,330,69,68,60,62,71,410,90,90,81,65,84,359,63,81,91,67,57,331,75,66,62,64,64,70,201,69,67,65,46,11,6,14,5,10,1984,428,3,3,N/A,N/A,1,Normal (170-185),No,90,60,65,71,67,75
Antonio Milić,"CB, CB",Ekstraklasa (Poland),2021,2026,30,70,70,226518,"190cm / 6'3""",81kg / 179lbs,Left,70,CB,0,"Jan 25, 2021",N/A,€1.3M,€8K,€1.8M,269,63,34,70,65,37,299,43,68,64,64,60,217,33,34,40,68,42,318,57,70,62,84,45,280,70,70-1,45,52,43,65,207,70,69,68,48,11,8,8,11,10,1638,333,3,2,N/A,N/A,1,Normal (185+),No,34,42,62,50,70,75
Dino Hotić,"RM, CAM, RM",Ekstraklasa (Poland),2023,2026,28,70,70,247144,"168cm / 5'6""",69kg / 152lbs,Left,70,RM,0,"Jul 12, 2023",N/A,€1.6M,€9K,€2.2M,320,71,64,48,69,68,355,67,73,77,70,68,381,83-2,67,78,67-1,86-1,346,72,69-1,71-6,64-3,70-2,340,69,57,67,72-1,75,71-1,136,43,48,45,52,9,10,6,15,12,1930,398,4,4,N/A,N/A,1,Stocky (170-),No,74,68,71,70,48,67
Stjepan Lončar,"CDM, CM, CDM",Ekstraklasa (Poland),2024,2025,27,70,70,263383,"187cm / 6'2""",74kg / 163lbs,Left,70,CDM,0,"Sep 6, 2024",N/A,€1.5M,€8K,€2M,310,57,67,54,71,61,322,71,60,49,72,70,292,55,57,52,73,55,344,68,64,74,72,66,324,73,63,68,72,48,72,195,69,68,58,48,13,10,10,6,9,1835,394,3,3,N/A,N/A,1,Normal (185+),No,56,66,67,68,65,72
Paweł Wszołek,"RM, RB, RM",Ekstraklasa (Poland),2022,2025,32,70,70,203568,"186cm / 6'1""",77kg / 170lbs,Right,70,RM,0,"Jul 7, 2022",N/A,€1.3M,€9K,€1.8M,312,68,62,57,69,56,319,68,66,52,65,68,367,78,76,76,65,72,336,66,71,78,61,60,310,63,59,68,69,51,70,163,51,58,54,56,14,12,10,10,10,1863,397,2,3,N/A,N/A,1,Normal (185+),No,77,62,67,69,56,66
Jean-Pierre Nsame,"ST, ST",Ekstraklasa (Poland),,"Jun 30, 2025 On loan",31,70,70,209973,"188cm / 6'2""",88kg / 194lbs,Right,70,ST,0,"Jan 26, 2024","Jun 30, 2025",€1.3M,€23K,€0,313,39,70,75,59,70,298,68,56,56,46,72,321,63,66,58,67,67,380,74,85,70,87,64,283,66,18,67,58,74,74,62,28,19,15,50,13,12,5,15,5,1707,361,4,3,N/A,N/A,1,Normal (185+),No,65,70,53,68,27,78
Lucas Lima Linhares,"CAM, LW, RM",Ekstraklasa (Poland),2024,2025,27,70,70,244186,"170cm / 5'7""",60kg / 132lbs,Right,71,RM,0,"Jul 1, 2024",N/A,€1.7M,€8K,€2.3M,311,63,64,49,70,65,342,73,70,62,64,73,400,81,78,83,68,90,326,70,65,75,56,60,266,40,38,70,67,51,73,94,28,35,31,51,6,12,8,12,13,1790,378,4,4,N/A,N/A,1,Normal (170-),No,79,64,67,75,35,58
