Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Patrick Berg,"CDM, CM, CM",Eliteserien (Norway),2022,2028,26,76,80,222227,"177cm / 5'10""",74kg / 163lbs,Right,77,CM,4,"Aug 29, 2022",N/A,€9.5M,€8K,€13.1M,325,71,59,58,77,60,360,71,73,66,75,75,368,72,74,70,75,77,384,69,74,92,75,74,343,68,73,68,76,58,76,210,71,71,68,59,14,11,16,10,8,2049,433,2,3,N/A,N/A,1,Normal (170-185),No,73,64,75,73,70,78
Magnus Wolff Eikrem,"CAM, ST, CAM",Eliteserien (Norway),2018,2025,33,75,75,153048,"184cm / 6'0""",69kg / 152lbs,Right,75,CAM,0,"Jul 25, 2018",N/A,€3.5M,€8K,€4.4M,330,72,71,35,78,74,372,72,82,71,72,75,357,65,65,82,75,70,298,69,47,58,49,75,297,45,38,76,77,61,76,102,32,28,42,54,12,9,10,8,15,1810,369,4,3,N/A,N/A,1,Lean (170-185),No,65,71,76,74,33,50
Philip Zinckernagel,"LW, CAM, LW",Eliteserien (Norway),,"Dec 31, 2024 On loan",29,75,75,215443,"175cm / 5'9""",70kg / 154lbs,Right,75,LW,0,"Aug 1, 2023","Dec 31, 2024",€5.5M,€30K,€0,331,73,71,42,72,73,361,75,75,72,63,76,400,85,80,87,71,77,352,75,66,74,64,73,322,67,44,74,74,63,75,113,49,38,26,51,12,10,8,8,13,1930,410,3,4,N/A,N/A,1,Normal (170-185),No,82,72,71,76,42,67
Zlatko Tripić,"LW, RW, LW",Eliteserien (Norway),2021,2026,31,73,73,205214,"182cm / 6'0""",74kg / 163lbs,Right,73,LW,0,"May 7, 2021",N/A,€2.5M,€5K,€3.1M,342,71,73,57,67,74,359,75,75,70,66,73,378,84,84,76,64,70,396,81,81,82,76,76,355,88+3,43,73,71,80,78,155,58,47,50,60,10,8,15,16,11,2045,434,4,3,N/A,N/A,1,Normal (170-185),No,84,76,69,74,51,80
Fredrik Andre Bjørkan,"LB, LB",Eliteserien (Norway),2023,2029,25,73,76,233800,"180cm / 5'11""",73kg / 161lbs,Left,73,LB,3,"Jan 8, 2023",N/A,€3.7M,€6K,€5.1M,293,67,53,58,67,48,314,73,64,43,63,71,381,81,80,76,68,76,342,58,76,91,70,47,303,65,67,64,63,44,67,202,67,68,67,53,9,13,10,12,9,1888,410,2,3,N/A,N/A,1,Stocky (170-185),No,80,53,64,72,66,75
Ole Kristian Selnæs,"CM, CDM, CM",Eliteserien (Norway),2023,2027,29,72,72,204612,"188cm / 6'2""",80kg / 176lbs,Left,72,CM,0,"Sep 6, 2023",N/A,€2.3M,€7K,€2.9M,342,69,64,70,73,66,355,68,72,70,72,73,347,64,61,77,75,70,375,71,77,79,78,70,344,68,73,66,72,65,73,198,69,65,64,55,12,13,8,12,10,2016,416,3,3,N/A,N/A,1,Lean (185+),No,62,67,72,71,68,76
Martin Linnes,"RB, RB",Eliteserien (Norway),2021,2025,32,72,72,198599,"177cm / 5'10""",72kg / 159lbs,Right,72,RB,0,"Aug 17, 2021",N/A,€1.6M,€7K,€2M,300,65,56,54,66,59,310,68,65,47,60,70,391,83,85,75,70,78,344,62,72,86,64,60,290,54,65,62,65,44,64,197,67,65,65,56,13,10,6,11,16,1888,409,3,3,N/A,N/A,1,Lean (170-185),No,84,58,64,70,65,68
Jens Petter Hauge,"LW, RW, CAM",Eliteserien (Norway),,"Dec 31, 2024 On loan",24,72,75,233848,"184cm / 6'0""",70kg / 154lbs,Right,73,CAM,3,"May 28, 2022","Dec 31, 2024",€3.2M,€25K,€0,308,67,69,49,67,56,333,75,67,54,63,74,379,83,74,80,66,76,347,69,70,75,67,66,290,48,39,70,68,65,66,112,43,37,32,47,9,7,14,9,8,1816,391,3,4,N/A,N/A,1,Lean (170-185),No,78,68,66,74,40,65
Håkon Evjen,"CAM, CM, RW, LM",Eliteserien (Norway),2024,2028,24,72,76,242162,"178cm / 5'10""",68kg / 150lbs,Left,75,LM,4,"Jan 31, 2024",N/A,€3.4M,€6K,€4.7M,307,70+1,63+1,46+7,71+3,57,346,74,72,58+4,68+5,74,408,89,83,92,66,78+3,335,61,67+5,86,55,66+1,303,58,53+5,69,71+3,52,70+2,177,59,63,55,57,11,13,7,14,12,1933,415,2,4,N/A,N/A,1,Lean (170-185),No,86,63,70,75,57,64
Ulrik Saltnes,"CM, CM",Eliteserien (Norway),2012,2026,31,71,71,221001,"187cm / 6'2""",78kg / 172lbs,Right,71,CM,0,"Jan 1, 2012",N/A,€1.5M,€7K,€2M,325,63,65,70,72,55,326,68,64,55,70,69,364,77,72,70,72,73,382,66,84,90,79,63,340,76,69,70,69,56,69,200,69,67,64,55,16,6,9,10,14,1992,424,3,3,N/A,N/A,1,Normal (185+),No,74,64,68,69,68,81
Nikita Haikin,"GK, GK",Eliteserien (Norway),2023,2026,28,71+1,72+1,222389,"185cm / 6'1""",74kg / 163lbs,Right,71,GK,1,"Mar 31, 2023",N/A,€1.5M,€4K,€2.1M,115,16,18,20,44,17,128,20,17,15,42,34,271,50,53,52,69+1,47,240,53,67,42,64,14,155,31,24,19,63+1,18,57,53,20,19,14,350,71,68+1,70,69+1,72,1312,401,2,1,N/A,N/A,1,Normal (185+),No,71,68,70,72,51,69
Michal Tomič,"RB, RM, RM",Eliteserien (Norway),,"Jan 31, 2025 On loan",25,71,74,277027,"182cm / 6'0""",77kg / 170lbs,Right,72,RM,3,"Feb 3, 2023","Jan 31, 2025",€2.3M,€19K,€0,317,72,59,58,70,58,332,71,62,62,66,71,358,75,77,72,68,66,350,71,70,73,62,74,311,68,67,66,66,44,68,197,63,66,68,58,9,6,14,15,14,1923,410,4,2,N/A,N/A,1,Normal (170-185),No,76,64,68,71,65,66
