Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Dávid Hancko,"CB, LB, CB",Eredivisie (Netherlands),2022,2028,26,81,84,247103,"188cm / 6'2""",82kg / 181lbs,Left,84,CB,3,"Aug 22, 2022",N/A,€30M,€26K,€44.3M,330,66,63,81,78,42,358,73,60,72,76,77,367,77,78,74,83,55,387,75,84,78,82,68,361,76,79,69,68,69,77,245,81,81,83,53,14,12,6,7,14,2101,451,3,2,N/A,N/A,3,Lean (185+),No,78,66,72,74,81,80
Luuk de Jong,"ST, ST",Eredivisie (Netherlands),2022,2025,33,81,81,189805,"189cm / 6'2""",86kg / 190lbs,Right,81,ST,0,"Jul 2, 2022",N/A,€16.5M,€23K,€23.1M,406,67,82,93,80,84,350,70,63,69,65,83,279,48,40,52,84,55,412,83,92,79,85,73,346,66,45,88,75,72,80,161,59,55,47,53,16,10,8,8,11,2007,407,5,3,N/A,N/A,3,Normal (185+),Yes,44,80,73,73,57,80
Jerdy Schouten,"CDM, CB, CM, CDM",Eredivisie (Netherlands),2023,2028,27,81,83,235149,"185cm / 6'1""",74kg / 163lbs,Right,82,CDM,2,"Aug 16, 2023",N/A,€28M,€20K,€41.3M,316,59,57,66,82,52,325,75,56,36,79,79,351,66,64,66,80,75,342,65,72,77,70,58,352,71,84,62,77,58,84,239,82,80,77,43,11,7,6,5,14,1968,424,3,4,N/A,N/A,3,Lean (185+),Yes,65,59,72,76,80,72
Jordan Henderson,"CDM, CM, CDM",Eredivisie (Netherlands),2024,2026,34,80,80,183711,"187cm / 6'2""",80kg / 176lbs,Right,80,CDM,0,"Jan 18, 2024",N/A,€7M,€22K,€9.8M,368,82,70,64,81,71,394,77,80,73,84,80,338,63,65,64,81,65,380,77,73,82,75,73,380,81,77,77,78,67,76,228,76,77,75,49,7,13,7,9,13,2137,446,3,3,N/A,N/A,3,Normal (185+),Yes,64,72,81,76,75,78
Walter Benítez,"GK, GK",Eredivisie (Netherlands),2022,2025,31,80,80,215223,"191cm / 6'3""",93kg / 205lbs,Right,80,GK,0,"Jul 1, 2022",N/A,€11M,€13K,€15.4M,80,12,14,13,28,13,103,19,20,17,27,20,240,38,35,45,77,45,258,54,70,40,80,14,137,28,21,17,46,25,62,54,17,20,17,390,79,78,72,79,82,1262,427,2,1,N/A,N/A,2,Normal (185+),No,79,78,72,82,37,79
Olivier Boscagli,"CB, CDM",Eredivisie (Netherlands),2019,2025,26,80+1,82+1,225863,"181cm / 5'11""",68kg / 150lbs,Left,82,CDM,2,"Jul 17, 2019",N/A,€23M,€19K,€33.9M,293,72,33,77,82+2,29,348,74,52,56,84,82+1,360,69,65,72,83+5,71,375,73,82,76,75,69,335,74+1,81,62,77,41,79,241,80-2,81+1,80+1,49,8,7,14,8,12,2001,426,4,3,N/A,N/A,2,Lean (170-185),Yes,67,50,77,77,80,75
Joey Veerman,"CM, CDM, CAM, CM",Eredivisie (Netherlands),2022,2026,25,80,83,253109,"185cm / 6'1""",75kg / 165lbs,Right,83,CM,3,"Jan 4, 2022",N/A,€27.5M,€19K,€40.6M,352,82,70,55,86,59,400,77,78,77,88,80,329,68,45,72,74,70,366,76,61,84,68,77,360,68,67,70,88,67,78,197,70,68,59,47,12,11,10,5,9,2051,427,4,3,N/A,N/A,3,Normal (185+),No,55,72,85,77,66,72
Lars Unnerstall,"GK, GK",Eredivisie (Netherlands),2021,2027,33,80,80,199833,"198cm / 6'6""",103kg / 227lbs,Right,80,GK,0,"Jul 1, 2021",N/A,€7M,€9K,€10.5M,74,10,13,10,26,15,88,16,13,11,29,19,179,30,34,20,75,20,239,50,60,35,82,12,128,36,21,13,42,16,58,43,11,17,15,389,80,80,66,80,83,1140,421,1,1,N/A,N/A,1,Stocky (185+),Yes,80,80,66,83,32,80
Steven Berghuis,"RW, CAM, CAM",Eredivisie (Netherlands),2021,2025,32,79,79,200260,"182cm / 6'0""",75kg / 165lbs,Left,80,CAM,0,"Jul 19, 2021",N/A,€14M,€23K,€19.6M,371,83,81,48,82,77,401,77,85,76,81,82,379,79,66,82,77,75,351,82,60,69,63,77,353,72,37,79,83,82,80,110,43,37,30,49,9,11,7,7,15,2014,418,2,3,N/A,N/A,3,Lean (170-185),Yes,72,80,82,79,39,66
Santiago Giménez,"ST, ST",Eredivisie (Netherlands),2022,2027,23,79,84,245152,"183cm / 6'0""",68kg / 150lbs,Left,81,ST,5,"Jul 29, 2022",N/A,€27M,€23K,€39.8M,370,64,82,80,74,70,347,77,72,52,69,77,376,77,80,75,74,70,384,83,81,68,76,76,369,78,51,84,75,81,78,116,55,39,22,48,6,14,12,6,10,2010,429,4,3,N/A,N/A,2,Normal (170-185),Yes,79,80,70,76,49,75
