Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Hyeon Woo Jo,"GK, GK",K League 1 (Korea Republic),2020,2027,32,76,76,212432,"189cm / 6'2""",75kg / 165lbs,Right,76,GK,0,"Jan 20, 2020",N/A,€3.7M,€8K,€4.8M,91,11,18,16,28,18,87,12,19,15,23,18,259,52,50,31,73,53,176,47,53,29,33,14,128,19,17,12,61,19,63,63,29,18,16,365,80,72,62,73,78,1169,416,3,1,N/A,N/A,1,Lean (185+),No,80,72,62,78,51,73
Stanislav Iljutcenko,"ST, ST",K League 1 (Korea Republic),2022,2024,33,75,75,228861,"187cm / 6'2""",82kg / 181lbs,Right,75,ST,0,"Jul 12, 2022",N/A,€3.6M,€11K,€4.5M,347,53,79,75,64,76,317,66,65,59,52,75,323,69,67,59,69,59,406,79,87,78,91,71,317,71,38,77,56,75,71,87,21,44,22,60,10,16,11,14,9,1857,392,4,3,N/A,N/A,1,Normal (185+),No,68,77,58,68,37,84
Wanderson Carvalho Oliveira,"LB, LM, LB",K League 1 (Korea Republic),2022,2029,35,75,75,229343,"172cm / 5'8""",62kg / 137lbs,Left,75,LB,0,"Mar 11, 2022",N/A,€1.7M,€6K,€2.1M,329,72,59,60,72,66,339,72,64,66,64,73,412,84,90,80,73,85,363,72,77,82,68,64,343,72,72,73,61,65,62,200,64,70,66,47,12,10,7,10,8,2033,432,3,4,N/A,N/A,1,Normal (170-185),No,87,64,68,73,67,73
Oberdan Alionço de Lima,"CDM, CM, CDM",K League 1 (Korea Republic),2023,2026,28,75,75,272733,"175cm / 5'9""",74kg / 163lbs,Right,75,CDM,0,"Jan 5, 2023",N/A,€4.9M,€8K,€6.1M,291,55,58,49,73,56,318,71,53,49,70,75,391,79,84,76,75,77,374,68,72,90,75,69,338,62,77,70,73,56,66,210,69,74,67,49,10,10,11,7,11,1971,431,4,3,N/A,N/A,1,Normal (170-185),No,82,63,67,73,70,76
Chang Geun Lee,"GK, GK",K League 1 (Korea Republic),2022,2028,30,74,74,210941,"186cm / 6'1""",75kg / 165lbs,Right,74,GK,0,"Jan 11, 2022",N/A,€2.8M,€6K,€3.5M,94,14,19,16,30,15,95,16,12,15,28,24,276,45,46,64,66,55,214,50,63,22,60,19,126,24,22,13,43,24,60,47,15,18,14,363,73,74,67,72,77,1215,408,3,1,N/A,N/A,1,Normal (185+),No,73,74,67,77,45,72
Jesse Lingard,"CAM, ST, CAM",K League 1 (Korea Republic),2024,2025,31,74,74,207494,"175cm / 5'9""",65kg / 143lbs,Right,74,CAM,0,"Feb 8, 2024",N/A,€3.5M,€9K,€4.4M,346,70,68,59,74,75,366,78,77,70,65,76,378,75,71,75,73,84,332,76,68,58,57,73,349,71,57,75,76,70,76,169,61,59,49,54,14,10,8,13,9,1994,412,3,4,N/A,N/A,1,Lean (170-185),Yes,73,71,72,77,58,61
Min Kyu Joo,"ST, ST",K League 1 (Korea Republic),2023,2025,34,74,74,213189,"183cm / 6'0""",79kg / 174lbs,Right,74,ST,0,"Jan 4, 2023",N/A,€2.1M,€13K,€2.7M,333,41,79,74,64,75,311,64,63,56,52,76,351,67,70,66,68,80,393,76,86,74,89,68,326,67,47,79,58,75,71,116,33,45,38,63,14,10,11,12,16,1893,395,4,3,N/A,N/A,1,Stocky (170-185),No,69,76,56,69,44,81
Gustav Ludwigson,"LM, LW, RW, LM",K League 1 (Korea Republic),2023,2028,30,74,74,256370,"182cm / 6'0""",75kg / 165lbs,Right,74,LM,0,"Jan 5, 2023",N/A,€4.1M,€12K,€5.3M,338,61,80,62,68,67,296,70,59,42,54,71,404,90,90,80,73,71,381,64,85,89,77,66,309,75,33,75,70,56,65,71,28,24,19,56,10,9,11,13,13,1855,406,4,3,N/A,N/A,1,Normal (170-185),No,90,72,63,71,30,80
Dong Kyeong Lee,"CAM, CM, RW, CAM",K League 1 (Korea Republic),,"Oct 26, 2025 On loan",26,74,75,245054,"175cm / 5'9""",69kg / 152lbs,Left,75,CAM,1,"Jul 31, 2018","Oct 26, 2025",€5M,€11K,€0,331,71,72,46,74,68,366,75,72,74,69,76,373,72,78,74,69,80,364,76,63,86,62,77,343,69,60,75,72,67,62,171,57,58,56,44,7,9,14,9,5,1992,422,5,4,N/A,N/A,1,Normal (170-185),No,75,74,72,75,57,69
Cesar Fernando Silva Melo,"ST, LW, CAM, ST",K League 1 (Korea Republic),2016,2029,34,74,74,225733,"177cm / 5'10""",74kg / 163lbs,Right,75,ST,0,"Feb 15, 2016",N/A,€2.1M,€9K,€2.6M,348,70,74,62,71,71,362,74,68,76,67,77,385,80,83,77,69,76,388,77,81,76,77,77,313,61,26,77,74,75,67,80,42,18,20,53,8,8,12,14,11,1929,408,5,5,N/A,N/A,1,Normal (170-185),No,82,75,71,75,31,74
