Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
José Luis Morales Nogales,"ST, LM, RM, RW",La Liga 2 (Spain),2024,2025,36,76,76,216475,"180cm / 5'11""",70kg / 154lbs,Right,77,RW,0,"Jul 10, 2024",N/A,€2.6M,€12K,€4.2M,371,75,81,60,75,80,371,78,79,68,69,77,389,77,78,78,77,79,371,81,75,68,69,78,344,58,58,78,74,76,79,143,44,54,45,64,14,13,13,16,8,2053,429,4,4,N/A,N/A,2,Lean (170-185),Yes,78,80,74,78,52,67
Jaume Vicent Costa Jordá,"LB, LB",La Liga 2 (Spain),2024,2025,36,76,76,193171,"171cm / 5'7""",62kg / 137lbs,Left,76,LB,0,"Aug 8, 2024",N/A,€1.7M,€7K,€2.6M,315,75,57,70,75,38,338,70,67,59,67,75,355,67,67,69,75,77,343,75,71,69,64,64,338,82,77,66,57,56,69,225,76,74,75,61,10,11,16,10,14,1975,413,3,3,N/A,N/A,1,Lean (170-185),Yes,67,61,69,72,75,69
Luís Manuel Arantes Maximiano,"GK, GK",La Liga 2 (Spain),2024,2029,25,76,79,244316,"190cm / 6'3""",82kg / 181lbs,Right,76,GK,3,"Jul 2, 2024",N/A,€7.5M,€6K,€12.6M,76,10,5,8,45,8,95,16,9,9,40,21,277,55,55,58,76,33,216,53,67,23,68,5,99,12,9,6,59,13,56,49,21,15,13,371,76,75,71,71,78,1183,426,2,1,N/A,N/A,1,Normal (185+),No,76,75,71,78,55,71
Manuel Trigueros Muñoz,"CM, LM, CM",La Liga 2 (Spain),2024,2026,32,76,76,206545,"178cm / 5'10""",75kg / 165lbs,Right,76,CM,0,"Aug 8, 2024",N/A,€6M,€10K,€9.6M,352,74,68,65,80,65,374,73,76,69,79,77,298,47,46,65,74,66,342,77,62,65,60,78,356,66,73,75,77,65,74,204,69,70,65,50,9,14,12,7,8,1976,400,4,4,N/A,N/A,2,Normal (170-185),Yes,46,72,77,73,69,63
Lucas Pérez Martínez,"ST, CAM, ST",La Liga 2 (Spain),2023,2025,35,75,75,199354,"180cm / 5'11""",73kg / 161lbs,Left,75,ST,0,"Jan 1, 2023",N/A,€2.4M,€7K,€3.8M,364,74,76,67,74,73,372,71,76,82,69,74,364,73,75,70,78,68,369,75,77,67,72,78,340,67,38,79,78,78,74,69,25,20,24,50,14,8,8,10,10,1928,397,4,4,N/A,N/A,1,Normal (170-185),Yes,74,76,75,72,30,70
Helton Brant Aleixo Leite,"GK, GK",La Liga 2 (Spain),2024,2026,33,75-2,75-2,213951,"196cm / 6'5""",92kg / 203lbs,Right,75,GK,0,"Aug 12, 2024",N/A,€1.8M,€5K,€2.9M,69,11,10,12,27,9,71,10,12,8,21,20,264,54,51,57,77-2,25,253,53,66-1,42,79,13,75,22,11,8,15,19,41,31,14,9,8,366,74-2,72-1,70,74-2,76-3,1129,419,2,1,N/A,N/A,1,Lean (185+),No,74,72,70,76,53,74
Keidi Bare,"CDM, CM, CDM",La Liga 2 (Spain),2024,2027,26,75,77,237184,"174cm / 5'9""",66kg / 146lbs,Right,76,CDM,2,"Jul 26, 2024",N/A,€6M,€11K,€10.1M,281,62,50,55,72,42,318,71,63,42,70,72,369,73,72,74,73,77,351,74,73,83,73,48,352,80,75,63,70,64,72,218,73,74,71,60,13,12,11,11,13,1949,415,3,3,N/A,N/A,1,Normal (170-185),Yes,72,55,67,72,72,77
Iñigo Vicente Elorduy,"LM, CAM, LM",La Liga 2 (Spain),2022,2027,26,75,76,243792,"178cm / 5'10""",69kg / 152lbs,Right,75,LM,1,"Jul 14, 2022",N/A,€6.5M,€10K,€10.6M,308,75,71,44,74,44,369,77,71,72,73,76,383,80,76,81,70,76,333,66,64,72,61,70,319,53,53,69,74,70,69,135,38,53,44,55,7,7,11,15,15,1902,405,4,4,N/A,N/A,1,Lean (170-185),Yes,78,68,74,76,47,62
José Ángel Valdés Díaz,"LB, LM, LB",La Liga 2 (Spain),2022,2025,34,75,75,190143,"182cm / 6'0""",74kg / 163lbs,Left,75,LB,0,"Jul 31, 2022",N/A,€2.1M,€11K,€3.4M,320,80,46,73,79,42,388,71,82,74,82,79,335,64,64,65,75,67,360,83,76,67,70,64,337,71,71,69,81,45,70,220,74,73,73,64,12,13,10,16,13,2024,418,3,3,N/A,N/A,1,Normal (170-185),No,64,58,80,73,73,70
Kevin Vázquez Comesaña,"RB, RB",La Liga 2 (Spain),2024,2025,31,75,75,228716,"175cm / 5'9""",72kg / 159lbs,Right,75,RB,0,"Aug 29, 2024",N/A,€4.1M,€11K,€6.6M,321,77,55,73,75,41,304,65,58,45,61,75,324,66,67,44,72,75,308,54,74,67,63,50,304,69,71,61,57,46,57,225,68,78,79,64,11,15,9,15,14,1850,392,3,3,N/A,N/A,1,Normal (170-185),No,67,53,67,66,73,66
