Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Kylian Mbappé,"ST, LW, ST",La Liga (Spain),2024,2029,25,91,95+1,231747,"182cm / 6'0""",75kg / 165lbs,Right,93,ST,4,"Jul 1, 2024",N/A,€185M,€590K,€393.1M,415,78,94,73,86,84,405,93,80,69,71,92,462,97,97,93,93,82,426,90,88,88,77,83,362,64,38,93,83,84,88,92,26,34,32,42,13,5,7,11,6,2204,473,4,5,N/A,N/A,5,Unique,Yes,97,90,80,92,36,78
Vinícius José de Oliveira Júnior,"LW, ST, CAM",La Liga (Spain),2018,2027,23,90,94,238794,"176cm / 5'9""",73kg / 161lbs,Right,91,CAM,4,"Jul 12, 2018",N/A,€171.5M,€340K,€364.4M,376,81,89,50,83,73,401,93,79,62,77,90,454,95,95,94,86,84,387,81,74,84,65,83,327,58,26,87,85,71,83,75,32,25,18,36,5,7,7,7,10,2056,449,4,5,N/A,N/A,5,Lean (170-185),Yes,95,84,81,91,29,69
Jude Bellingham,"CAM, CM, CAM",La Liga (Spain),2023,2029,21,90,94,252371,"186cm / 6'1""",75kg / 165lbs,Right,92,CAM,4,"Jul 1, 2023",N/A,€174.5M,€280K,€370.8M,397,66,90,75,89,77,408,89,73,68,89,89,413,81,80,82,91,79,425,85,84,93,77,86,422,85,82,91,90,74,87,233,77,79,77,48,14,11,10,5,8,2346,499,4,4,N/A,N/A,5,Normal (170-185),Yes,80,87,83,88,78,83
Marc-André ter Stegen,"GK, GK",La Liga (Spain),2014,2028,32,89,89,192448,"187cm / 6'2""",85kg / 187lbs,Right,89,GK,0,"Jul 1, 2014",N/A,€51M,€160K,€104.6M,118,18,14,11,61,14,144,21,18,12,63,30,262,45,50,39,85,43,262,67,72,35,78,10,171,43,22,11,70,25,70,48,25,13,10,437,86,85,89,86,91,1442,484,4,1,N/A,N/A,5,Unique,Yes,86,85,89,91,47,86
Thibaut Courtois,"GK, GK",La Liga (Spain),2018,2026,32,89,89,192119,"200cm / 6'7""",96kg / 212lbs,Left,89,GK,0,"Aug 9, 2018",N/A,€51M,€220K,€104.6M,86,14,14,13,33,12,110,13,19,20,35,23,290,42,52,63,88,45,250,57,68,38,70,17,122,23,15,13,44,27,66,54,20,18,16,428,85,89,76,88,90,1340,474,3,1,N/A,N/A,5,Unique,Yes,85,89,76,90,46,88
Antoine Griezmann,"ST, ST",La Liga (Spain),2022,2026,33,88,88,194765,"176cm / 5'9""",73kg / 161lbs,Left,88,ST,0,"Oct 10, 2022",N/A,€58.5M,€150K,€122.9M,432,82,90,85,89,86,439,88,89,85,86,91,425,81,80,89,90,85,417,85,87,86,72,87,390,74,59,90,88,79,89,172,45,63,64,63,14,8,14,13,14,2338,480,3,4,N/A,N/A,4,Unique,Yes,80,88,87,89,59,77
Jan Oblak,"GK, GK",La Liga (Spain),2014,2028,31,88,88,200389,"188cm / 6'2""",87kg / 192lbs,Right,88,GK,0,"Jul 16, 2014",N/A,€48.5M,€87K,€101.9M,95,13,11,15,43,13,109,12,13,14,40,30,292,42,53,64,85,48,263,59,72,42,78,12,149,36,24,11,67,11,68,59,27,14,18,426,85,90,78,86,87,1393,472,3,1,N/A,N/A,4,Unique,Yes,85,90,78,87,46,86
Robert Lewandowski,"ST, ST",La Liga (Spain),2022,2026,35,88,88,188545,"185cm / 6'1""",81kg / 179lbs,Right,88,ST,0,"Jul 18, 2022",N/A,€39M,€195K,€80M,424,76,90,88,84,86,408,85,79,84,70,90,400,76,75,77,89,83,428,89,92,76,89,82,391,81,49,90,81,90,87,96,35,42,19,51,15,6,12,8,10,2198,456,4,4,N/A,N/A,5,Unique,Yes,75,88,79,86,44,84
Antonio Rüdiger,"CB, CB",La Liga (Spain),2022,2026,31,88,88,205452,"190cm / 6'3""",86kg / 190lbs,Right,88,CB,0,"Jul 1, 2022",N/A,€62.5M,€310K,€128.1M,309,68,40,83,84,34,330,69,50,56,81,74,354,71,91,56,86,50,401,84,89,70,91,67,332,92,85,54,61,40,80,261,86,88,87,59,14,15,10,12,8,2046,452,3,2,N/A,N/A,4,Lean (185+),Yes,82,55,73,70,86,86
Federico Valverde,"CM, RM, CM",La Liga (Spain),2016,2029,25,88,91,239053,"182cm / 6'0""",78kg / 172lbs,Right,90,CM,3,"Jul 22, 2016",N/A,€120M,€300K,€255M,381,78,79+1,63,87,74,402,83,74,69,88,88,409,84,91,77,89,68,435,91,83,92,82,87,395,81,83,86,86,59,84,244,79,85,80,45,6,10,6,15,8,2311,502,4,3,N/A,N/A,4,Unique,Yes,88,82,84,84,80,84
