Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Krystian Bielik,"CDM, CM, CB, CB",League One (England),2023,2026,26,72,76,224763,"192cm / 6'4""",78kg / 172lbs,Right,74,CB,4,"Jun 29, 2023",N/A,€2.9M,€12K,€5.4M,272,49,36,72,69,46,302,68,52,45,70,67,287,53,57,56,69,52,341,62,78,72,81,48,318,82,70,58,66,42,71,211,72,71,68,50,15,7,12,8,8,1781,380,3,3,N/A,N/A,1,Normal (185+),No,55,46,63,66,71,79
Seung Ho Paik,"CM, CDM, CM",League One (England),2024,2028,27,72,73,237424,"180cm / 5'11""",78kg / 172lbs,Right,73,CM,1,"Jan 29, 2024",N/A,€2.7M,€12K,€5.1M,315,61,63,53,73,65,353,73,66,72,70,72,361,72,64,77,67,81,379,74,71,89,73,72,335,63,67,65,72,68,70,190,65,67,58,48,5,12,6,15,10,1981,417,5,3,N/A,N/A,1,Normal (170-185),No,68,67,70,73,64,75
Christoph Klarer,"CB, CB",League One (England),2024,2027,24,72,78,242386,"191cm / 6'3""",82kg / 181lbs,Right,74,CB,6,"Jul 20, 2024",N/A,€3.4M,€10K,€6.8M,248,40+8,37,68,68,35,244,57+9,29,33,60,65,290,59,73,49,69,40,300,44,76,71,80,29,256,71,71,32,35,47,59,220,75,75,70,46,8,8,14,6,10,1604,362,3,2,N/A,N/A,1,Normal (185+),Yes,67,37,51,58,73,76
Alex Cochrane,"LB, CB, LB",League One (England),2024,2028,24,72,76,243589,"175cm / 5'9""",70kg / 154lbs,Left,72,LB,4,"Jul 14, 2024",N/A,€3.1M,€10K,€5.8M,275,72,41,59,69,34,317,67,56,59,64,71,359,72,74,72,66,75,306,55,69,81,60,41,303,72+7,64,65,58,44,64,209,70,71,68,44,9,7,7,14,7,1813,389,3,2,N/A,N/A,1,Normal (170-185),No,73,45,66,69,68,68
Tomoki Iwata,"CDM, CM, CB, CDM",League One (England),2024,2027,27,72,75,246444,"178cm / 5'10""",77kg / 170lbs,Right,73,CDM,3,"Aug 31, 2024",N/A,€2.7M,€12K,€5.1M,300,54,57,68,75,46,284,64,37,44,67,72,369,73,77,73,72,74,365,67,81,77,78,62,321,72,67,66,65,51,67,204,64,72,68,49,9,13,5,9,13,1892,412,3,2,N/A,N/A,1,Normal (170-185),Yes,75,60,64,68,68,77
Ben Davies,"CB, CB",League One (England),,"Jun 30, 2025 On loan",28,71,71,213017,"185cm / 6'1""",74kg / 163lbs,Left,71,CB,0,"Jul 21, 2022","Jun 30, 2025",€1.6M,€38K,€0,280,61,36,69,71,43,280,60,44,40,68,68,329,64,67,65,71,62,301,42,77,65,78,39,255,62,71,37,37,48,72,215,73,72,70,52,6,15,10,15,6,1712,372,3,2,N/A,N/A,1,Lean (185+),Yes,66,39,59,64,72,72
Emil Hansson,"LM, RM, CAM",League One (England),2024,2027,26,71,72,222165,"172cm / 5'8""",68kg / 150lbs,Right,72,CAM,1,"Jul 5, 2024",N/A,€2.2M,€12K,€4.1M,308,72,68,31,72,65,340,72,74,64,55,75,384,80,69,83,67,85,309,67,59,68,49,66,261,38,24,60,74,65,69,110,56,24,30,49,11,10,8,11,9,1761,372,3,3,N/A,N/A,1,Lean (170-185),No,74,67,70,74,35,52
Alfons Sampsted,"RB, RWB",League One (England),,"Jun 30, 2025 On loan",26,71,73,237511,"180cm / 5'11""",72kg / 159lbs,Right,72,RWB,2,"Jan 1, 2023","Jun 30, 2025",€2.1M,€8K,€0,275,68,48,57,65,37,281,65,54,40,54,68,373,81,69,79,67,77,334,51,83,91,67,42,303,66,74,61,58,44,65,195,67,65,63,53,15,8,10,14,6,1814,390,3,3,N/A,N/A,1,Normal (170-185),No,74,47,61,68,66,74
Michał Helik,"CB, CB",League One (England),2022,2025,28,71,72,219293,"191cm / 6'3""",80kg / 176lbs,Right,72,CB,1,"Sep 1, 2022",N/A,€1.8M,€11K,€3.3M,283,41,55,76,62,49,232,50,29,40,54,59,299,57,63,53,67,59,347,60,86,73,87,41,276,74,70,61,34,37,68,205,69,70,66,52,14,10,9,12,7,1694,366,3,2,N/A,N/A,1,Normal (185+),No,60,52,48,55,70,81
Bailey Peacock-Farrell,"GK, GK",League One (England),2024,2028,27,70,73-1,229091,"193cm / 6'4""",73kg / 161lbs,Left,70,GK,3,"Jul 1, 2024",N/A,€1.6M,€7K,€3M,98,14,11,17,45,11,126,17,20,11,49,29,283,60,61,40,63,59,247,53,70,40,67,17,167,40,20,14,64,29,52,66,26,20,20,351,70,70,71,69,71,1338,411,3,1,N/A,N/A,1,Stocky (185+),Yes,70,70,71,71,60,69
