Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
John Fleck,"CDM, CM, CDM",League Two (England),2024,2025,32,68,68,189177,"170cm / 5'7""",72kg / 159lbs,Left,68,CDM,0,"Sep 10, 2024",N/A,€800K,€14K,€1.4M,317,71,64,44,70,68,347,66,73,69,69,70,329,61,57,69,67,75,314,72,55,54,64,69,334,75,66,65,68,60,74,198,67,65,66,41,7,8,7,13,6,1880,391,2,3,N/A,N/A,1,Stocky (170-),Yes,59,67,70,68,64,63
Jodi Jones,"LM, LB, LM",League Two (England),2023,2027,26,68,68,227764,"177cm / 5'10""",72kg / 159lbs,Left,68,LM,0,"Jul 1, 2023",N/A,€1.3M,€14K,€2.3M,289,68,59,41,62,59,317,67,67,64,56,63,408,89,88,84,62,85,292,61,52,79,40,60,278,49,47,60,64,58,60,147,50,53,44,47,7,10,8,14,8,1778,380,3,3,N/A,N/A,1,Normal (170-185),No,88,60,63,68,49,52
Bradley Dack,"CAM, CM, CAM",League Two (England),2024,2026,30,67,67,211098,"173cm / 5'8""",71kg / 157lbs,Right,67,CAM,0,"Aug 15, 2024",N/A,€975K,€15K,€1.7M,326,66,67,64,68,61,338,67,71,69,62,69,330,62,56,72,64,76,340,69,75,51,77,68,323,71,55,69,66,62,69,150,46,56,48,57,10,7,15,16,9,1864,384,4,4,N/A,N/A,1,Stocky (170-185),No,59,67,67,69,53,69
Chey Dunkley,"CB, CB",League Two (England),2024,2027,32,67,67,226102,"188cm / 6'2""",85kg / 187lbs,Right,67,CB,0,"Jul 1, 2024",N/A,€650K,€14K,€1.1M,222,26,39,69,57,31,199,46,29,25,50,49,261,50,48,49,65,49,303,41,77,73,87,25,247,69,64,45,35,34,63,195,66,65,64,67,15,14,15,12,11,1494,320,3,2,N/A,N/A,1,Normal (185+),No,49,36,42,49,65,79
Matt Macey,"GK, GK",League Two (England),2024,2026,29,67,68,213407,"201cm / 6'7""",81kg / 179lbs,Right,67,GK,1,"Jul 1, 2024",N/A,€775K,€5K,€1.4M,93,18,16,16,27,16,95,16,16,17,24,22,207,38,40,37,59,33,211,48,57,33,57,16,122,25,15,12,48,22,44,36,11,11,14,330,69,66,64,65,66,1094,369,2,1,N/A,N/A,1,Lean (185+),Yes,69,66,64,66,39,65
Daniel Crowley,"CAM, CM, RM",League Two (England),2023,2025,26,67,68,224956,"170cm / 5'7""",71kg / 157lbs,Right,69,RM,1,"Jul 1, 2023",N/A,€1.2M,€14K,€2.2M,319,66,64,60,68,61,328,66,66,65,66,65,397,78,76,89,65,89,304,64,58,83,34,65,297,58,48,63,67,61,71,137,32,54,51,53,15,9,7,13,9,1835,376,3,3,N/A,N/A,1,Lean (170-),No,77,64,67,69,47,52
Billy Sharp,"ST, ST",League Two (England),2024,2025,38,66,66,163050,"175cm / 5'9""",70kg / 154lbs,Right,66,ST,0,"Jul 1, 2024",N/A,€300K,€12K,€525K,329,60,68,68,64,69,295,55,65,55,53,67,308,55,50,63,69,71,324,71,71,49,71,62,315,73,33,69,65,75,70,101,39,34,28,45,7,8,11,11,8,1717,347,3,2,N/A,N/A,1,Stocky (170-185),Yes,52,68,61,62,38,66
Jordan Gibson,"LM, CM, RM, LM",League Two (England),2024,2026,26,66,67,240813,"178cm / 5'10""",80kg / 176lbs,Right,66,LM,1,"Jul 1, 2024",N/A,€1M,€14K,€1.8M,275,57,62,47,62,47,300,66,59,56,55,64,370,83,83,76,61,67,330,61,66,81,59,63,285,46,58,59,63,59,60,163,50,58,55,42,11,9,6,9,7,1765,386,3,3,N/A,N/A,1,Lean (170-185),No,83,61,60,66,54,62
Charlie Wyke,"ST, ST",League Two (England),2024,2026,31,66,66,204217,"188cm / 6'2""",74kg / 163lbs,Right,66,ST,0,"Jul 1, 2024",N/A,€725K,€11K,€1.3M,308,46,66,70,61,65,292,62,57,52,54,67,283,51,56,59,66,51,355,69,76,63,83,64,296,70,31,69,61,65,65,98,39,32,27,65,16,12,15,10,12,1697,351,3,2,N/A,N/A,1,Stocky (185+),No,54,66,56,63,37,75
Liam Kelly,"CM, CDM, CM",League Two (England),2024,2026,28,66,66,221279,"163cm / 5'4""",74kg / 163lbs,Right,66,CM,0,"Jul 4, 2024",N/A,€850K,€14K,€1.5M,281,63,59,40,67,52,322,63,63,65,65,66,388,70,71,90,66,91,285,64,40,90,34,57,295,45,59,60,66,65,67,171,57,61,53,70,14,15,13,12,16,1812,372,2,3,N/A,N/A,1,Lean (170-),No,71,60,65,68,57,51
