Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Sebastián Rodríguez,"CM, CDM, CAM, CM",Liga 1 (Peru),2024,2024,31,75,75,205119,"181cm / 5'11""",75kg / 165lbs,Right,75,CM,0,"Jan 17, 2024",N/A,€4.6M,€29K,€10.1M,299,64,68,45,80,42,373,70,69,78,78,78,342,65,61,67,73,76,341,70,62,74,70,65,354,57,75,68,75,79,72,209,64,74,71,71,16,12,14,14,15,1989,414,3,3,N/A,N/A,1,Normal (170-185),No,63,67,75,73,68,68
Carlos Zambrano,"CB, CB",Liga 1 (Peru),2023,2024,34,73,73,187132,"185cm / 6'1""",77kg / 170lbs,Right,73,CB,0,"Jan 13, 2023",N/A,€1M,€24K,€2.2M,272,51,41,74,70,36,268,66,36,33,68,65,294,54,53,63,66,58,337,63,77,67,76,54,288,90,69,40,45,44,73,223,72,75,76,65,14,12,13,12,14,1747,373,3,2,N/A,N/A,1,Lean (185+),Yes,53,48,57,65,73,77
Hernán Barcos,"ST, ST",Liga 1 (Peru),2021,2024,40,73,73,191856,"187cm / 6'2""",91kg / 201lbs,Right,73,ST,0,"Sep 23, 2021",N/A,€0,€19K,€0,354,57,79,80,70,68,335,65,66,65,64,75,250,49,49,41,65,46,374,76,83,61,87,67,343,67,52,78,70,76,77,119,41,40,38,54,6,7,16,14,11,1829,378,5,3,N/A,N/A,1,Normal (185+),No,49,75,66,65,47,76
Andy Polo,"RM, RW, RM",Liga 1 (Peru),2022,2025,29,73,73,223637,"173cm / 5'8""",70kg / 154lbs,Right,73,RM,0,"Mar 15, 2022",N/A,€3M,€23K,€6.6M,316,67,65+5,60,70,54,332,75+2,68,56,61,72,412,90,89,88,70,75,328,60,76,74,58,60,296,56,59,67,70,44,57,179,55,63,61,55,10,7,12,12,14,1918,414,2,3,N/A,N/A,1,Normal (170-185),No,89,62,67,74,59,63
Edison Flores,"LW, CAM, ST, LW",Liga 1 (Peru),2022,2025,30,73+1,73+1,210951,"170cm / 5'7""",70kg / 154lbs,Left,73,LW,0,"Jul 1, 2022",N/A,€2.9M,€25K,€6.4M,333,67,74+3,57+11,68,67+3,343,79+1,70+4,56,66+2,72+1,379,76,78,79,67,79,348,70+2,72+6,70,65,71+2,265,28,36,71,68,62,65,101,38,38,25,60,12,10,12,13,13,1829,389,2,4,N/A,N/A,1,Normal (170-),No,77,72,67,76,38,59
Adrián Arregui,"CDM, CM, CDM",Liga 1 (Peru),2024,2024,31,72-1,72-1,226405,"175cm / 5'9""",74kg / 163lbs,Right,72,CDM,0,"Jan 3, 2024",N/A,€1.6M,€23K,€3.5M,331,62,60,66-6,76-4,67,344,69,65,65,72,73,356,71,69,71,73-1,72,370,78,77-7,73,73-7,69,341,74-6,69-1,68-1,70-2,60,68-2,202,68-3,70-3,64-3,63,9,16,7,16,15,2007,418,3,2,N/A,N/A,1,Normal (170-185),No,70,66,70,71,68,73
Martín Pérez Guedes,"CM, CAM, CM",Liga 1 (Peru),2023,2024,32,72+1,72+1,211274,"179cm / 5'10""",74kg / 163lbs,Right,72,CM,0,"Jan 1, 2023",N/A,€1.8M,€22K,€4M,319,63,72+5,53,76+1,55,339,68,61,65,75+1,70+1,363,81,80,70,60,72,369,75+10,73,81,70,70+3,334,50,65,76+7,76+4,67,65,194,66,68+2,60,59,11,10,8,15,15,1977,425,5,3,N/A,N/A,1,Lean (170-185),No,80,71,72,68,65,69
Alex Valera,"ST, ST",Liga 1 (Peru),2023,2024,28,72,72,259251,"183cm / 6'0""",84kg / 185lbs,Left,72,ST,0,"Jan 26, 2023",N/A,€2.4M,€24K,€5.3M,313,34,70,74,64,71,296,66,55,55,48,72,336,66,67,63,69,71,381,74,84,69,82,72,317,65,57,77,50,68,58,42,12,15,15,36,6,10,6,6,8,1721,362,3,3,N/A,N/A,1,Normal (170-185),No,67,72,52,68,28,75
Jairo Concha,"CM, CDM, CAM, CM",Liga 1 (Peru),2024,2024,25,72+1,75+1,264796,"175cm / 5'9""",69kg / 152lbs,Right,74,CM,3,"Jan 26, 2024",N/A,€3.1M,€21K,€7.1M,303,55,69,52,73,54,339,68,60,66,73+2,72,354,70,70,74,72,68,345,70,65,75,65,70,337,55,66,68+2,75,73,62,177,52,66,59,58,14,6,13,14,11,1913,404,2,4,N/A,N/A,1,Normal (170-185),No,70,69,69,70,60,66
Cecilio Waterman,"ST, ST",Liga 1 (Peru),2024,2024,33,71-1,71-1,220409,"181cm / 5'11""",80kg / 176lbs,Right,71,ST,0,"Jan 4, 2024",N/A,€1.2M,€26K,€2.6M,321,42,76,76,62,65,284,60,57,57,47,63,335,70-2,75-6,65,62-3,63,388,78,88-2,74-6,84,64,282,39,38,74-2,52,79,63,117,42,41,34,57,15,8,14,9,11,1784,379,3,3,N/A,N/A,1,Normal (170-185),No,73,74,53,62,44,73
