Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Marcos Acuña,"LB, LM, LB",Liga Profesional de Fútbol (Argentina),2024,2027,32,82,82,224334,"172cm / 5'8""",69kg / 152lbs,Left,82,LB,0,"Aug 20, 2024",N/A,€21M,€29K,€29.4M,363,85,65,64+1,82,67,406,83,88,75,77,83,404,76,73,82,83,90,412,83,81,86-1,82,80,397,82,78,80,81-1,76,85-1,241,78,82,81,62,8,14,13,13,14,2285,473,3,3,N/A,N/A,3,Stocky (170-185),Yes,74,73,82,83,78,83
Jeremías Conan Ledesma,"GK, GK",Liga Profesional de Fútbol (Argentina),2024,2028,31,81,81,219522,"183cm / 6'0""",84kg / 185lbs,Right,81,GK,0,"Jul 8, 2024",N/A,€13.5M,€18K,€18.9M,105,18,16,17,35,19,124,22,20,18,31,33,264,49,47,40,78,50,267,56,72,43,74,22,136,25,22,15,49,25,47,44,15,15,14,396,81,78,75,80,82,1336,444,2,1,N/A,N/A,3,Normal (170-185),Yes,81,78,75,82,48,80
Iker Muniain Goñi,"CAM, LM, CAM",Liga Profesional de Fútbol (Argentina),2024,2025,31,79,79,189575,"170cm / 5'7""",66kg / 146lbs,Right,79,CAM,0,"Sep 7, 2024",N/A,€14.5M,€19K,€21.8M,343,75,74,43,80,71,400,81,84,79,74,82,413,77,73,92,77,94,320,72,58,68,50,72,329,66,45,75,79,64,84,151,58,55,38,45,10,5,5,13,12,2001,418,3,4,N/A,N/A,2,Normal (170-),Yes,75,73,78,83,51,58
Éver Banega,"CM, CDM, CAM, CM",Liga Profesional de Fútbol (Argentina),2024,2025,36,79,79,178562,"176cm / 5'9""",78kg / 172lbs,Right,79,CM,0,"Jan 21, 2024",N/A,€5.5M,€16K,€8.3M,352,79,71,55,82,65,402,78,82,77,85,80,333,53,52,69,76,83,355,77,58,73,71,76,380,83,74,75,80,68,78,223,75,76,72,45,13,8,7,7,10,2090,430,4,4,N/A,N/A,2,Stocky (170-185),Yes,52,73,81,78,73,73
Germán Pezzella,"CB, CB",Liga Profesional de Fútbol (Argentina),2024,2027,33,78,78,193601,"187cm / 6'2""",82kg / 181lbs,Right,78,CB,0,"Aug 5, 2024",N/A,€6.5M,€22K,€9.1M,283,40,51,79,73,40,260,54,46,32,63,65,273,54,57,42,75,45,329,57,80,62,80,50,292,82,81,51,43,35,72,236,79,78,79,54,7,9,13,10,15,1727,376,3,2,N/A,N/A,1,Normal (185+),Yes,56,51,56,58,79,76
Franco Armani,"GK, GK",Liga Profesional de Fútbol (Argentina),2018,2026,37,78,78,214584,"189cm / 6'2""",88kg / 194lbs,Right,78,GK,0,"Jan 12, 2018",N/A,€1.6M,€9K,€2.2M,101,18,11,19,35,18,123,21,15,16,29,42,245,44,45,31,75,50,261,52,74,35,83,17,156,44,21,17,54,20,52,45,14,13,18,381,74,77,69,80,81,1312,425,3,1,N/A,N/A,1,Stocky (185+),Yes,74,77,69,81,44,80
Fabricio Bustos,"RB, RB",Liga Profesional de Fútbol (Argentina),2024,2027,28,78,78,236441,"167cm / 5'6""",70kg / 154lbs,Right,78,RB,0,"Aug 9, 2024",N/A,€12.5M,€22K,€17.5M,316,76,63,60,76,41,364,79+3,77,55,74,79+2,413,89,82,83,76,83,383,76,81,88,71,67,357,83,73,79,74,48,77,217,69,73,75,54,14,6,13,15,6,2104,452,3,3,N/A,N/A,1,Stocky (170-),Yes,85,65,74,79,71,78
Paulo Díaz,"CB, CB",Liga Profesional de Fútbol (Argentina),2019,2027,29,77,77,214436,"178cm / 5'10""",76kg / 168lbs,Right,77,CB,0,"Aug 2, 2019",N/A,€9M,€20K,€12.6M,323,70,51,80+1,78,44,308,70,47,47,74-1,70+1,360,71,74,69,73-1,73-1,372,70,87,81+1,76-1,58,358,81-1,75+2,66,70,66,79-1,228,77,74-1,77,67,13,9,15,15,15,2016,427,3,2,N/A,N/A,1,Normal (170-185),Yes,73,57,71,71,76,79
Miguel Borja,"ST, ST",Liga Profesional de Fútbol (Argentina),2022,2025,31,77,77,219862,"184cm / 6'0""",89kg / 196lbs,Right,77,ST,0,"Jul 11, 2022",N/A,€9M,€23K,€12.6M,359,66,78,77,68,70,332,72,61,59,67,73,365,76,78,69,76,66,403,82,86,75,90,70,339,75,33,82,71,78,77,118,41,40,37,66,10,16,13,12,15,1982,418,4,3,N/A,N/A,1,Stocky (170-185),Yes,77,77,67,72,42,83
Sergio Romero,"GK, GK",Liga Profesional de Fútbol (Argentina),2022,2025,37,77,77,173373,"192cm / 6'4""",88kg / 194lbs,Right,77,GK,0,"Aug 8, 2022",N/A,€1.2M,€8K,€1.8M,98,11,14,12,44,17,126,12,12,13,47,42,264,47,44,55,74,44,237,53,69,31,73,11,137,33,21,11,56,16,62,40,14,11,15,378,79,74,70,75,80,1280,424,3,1,N/A,N/A,3,Stocky (185+),Yes,79,74,70,80,46,75
