Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Dénes Dibusz,"GK, GK",Nemzeti Bajnokság I (Hungary),2014,2027,33,78,78,221610,"188cm / 6'2""",81kg / 179lbs,Right,78,GK,0,"Feb 12, 2014",N/A,€4.6M,€18K,€10.1M,86,14,15,18,23,16,91,16,14,19,22,20,169,29,24,21,74,21,176,56,48,19,36,17,118,20,19,13,47,19,65,45,12,15,18,382,77,72,74,77,82,1067,409,3,1,N/A,N/A,2,Normal (185+),No,77,72,74,82,27,77
Matheus Saldanha Marinho,"ST, ST",Nemzeti Bajnokság I (Hungary),2024,2027,24,76,80,271701,"185cm / 6'1""",80kg / 176lbs,Left,78,ST,4,"Sep 3, 2024",N/A,€11M,€22K,€25M,309,38,82,64,58,67,310,78,60,47,45,80,367,80,80,66,77,64,375,74,80,75,74,72,295,66,18,82,62,67,78,44,16,16,12,41,5,6,7,14,9,1741,380,3,3,N/A,N/A,1,Normal (185+),No,80,77,52,77,21,73
Mohammed Abu Fani,"CM, CDM, CM",Nemzeti Bajnokság I (Hungary),2023,2027,26,76,78,275976,"164cm / 5'5""",65kg / 143lbs,Right,78,CM,2,"Jul 5, 2023",N/A,€9M,€23K,€20.5M,319,64,61,58,80,56,352,67,65,66,78,76,371,68,63,80,76,84,341,69,61,76,68,67,351,75,67,69,84,56,81,206,64,70,72,43,10,12,6,7,8,1983,416,3,3,N/A,N/A,1,Stocky (170-),No,65,64,76,73,67,71
Cristian Ramírez,"LB, LB",Nemzeti Bajnokság I (Hungary),2023,2026,29,75+1,75+1,205207,"172cm / 5'8""",72kg / 159lbs,Left,75,LB,0,"Jul 14, 2023",N/A,€4.9M,€22K,€10.8M,285,76,36,52,74+1,47+6,351,76,62+3,68,73+2,72,406,85,81,84,71,85,344,72+2,72,86,63,51,311,67,66+2,60,71,47,72,211,70+1,69,72,57,7,11,11,16,12,1965,418,3,3,N/A,N/A,1,Normal (170-185),No,83,49,73,76,67,70
Barnabás Varga,"ST, ST",Nemzeti Bajnokság I (Hungary),2023,2027,30,75,75,236510,"181cm / 5'11""",74kg / 163lbs,Right,75,ST,0,"Jul 1, 2023",N/A,€5.5M,€25K,€12.1M,327,41,81,79,59,67,301,68,51,53,57,72,358,68,72,70,79,69,368,75,82,70,71,70,310,72,15,82,68,73,65,39,11,15,13,54,15,11,7,12,9,1757,365,3,3,N/A,N/A,1,Normal (170-185),No,70,77,56,70,20,72
Kristoffer Zachariassen,"CAM, RM, LM, CAM",Nemzeti Bajnokság I (Hungary),2021,2027,30,74-1,74-1,237566,"180cm / 5'11""",74kg / 163lbs,Right,74,CAM,0,"Jul 15, 2021",N/A,€4.1M,€22K,€9M,337,60,75-1,67,75-1,60,334,72,57,58+7,72-2,75,364,76-2,69,72,79-2,68,365,69,77,86-2,68,65-1,350,70-3,66-1,80,71,63+4,70,204,70,70-1,64,57,10,14,11,10,12,2011,426,3,3,N/A,N/A,1,Lean (170-185),No,72,71,69,73,68,73
Adama Traoré,"RW, CAM, RW",Nemzeti Bajnokság I (Hungary),2022,2025,29,74,74,245694,"177cm / 5'10""",74kg / 163lbs,Left,74,RW,0,"Jul 1, 2022",N/A,€4.1M,€23K,€9M,335,68,78,62+3,67,60+2,324,76,62,55+6,57,74,399,86,88,78,73,74,342,69,77+1,68,63,65,268,39,22,71+1,70+2,66+8,71-2,57,22,17+3,18,37,5,7,9,9,7,1762,383,2,3,N/A,N/A,1,Lean (170-185),No,87,72,65,75,24,60
Aleksandar Pešić,"ST, ST",Nemzeti Bajnokság I (Hungary),2023,2026,32,72,72,223489,"190cm / 6'3""",87kg / 192lbs,Right,72,ST,0,"Jul 1, 2023",N/A,€1.9M,€21K,€4.2M,341,58,74,73,67,69,297,66,56,55,49,71,308,69,68,62,69,40,376,74,84,68,82,68,311,71,30,75,68,67,70,137,43,48,46,60,14,12,14,10,10,1830,389,4,3,N/A,N/A,1,Normal (185+),No,68,72,62,66,45,76
Ibrahim Cissé,"CB, CB",Nemzeti Bajnokság I (Hungary),2023,2026,28,72,72,225532,"185cm / 6'1""",70kg / 154lbs,Right,72,CB,0,"Jul 1, 2023",N/A,€2M,€18K,€4.4M,276,64,34,71,74,33,291,60,53,41,71,66,352,66,69,74,69,74,316,45,81,75,77,38,287,70,72,55,56,34,67,212,73,73,66,62,12,8,13,16,13,1796,383,2,2,N/A,N/A,1,Normal (185+),No,68,38,65,65,72,75
Philippe Rommens,"CDM, CM, CM",Nemzeti Bajnokság I (Hungary),2024,2028,26,72,73,262403,"175cm / 5'9""",69kg / 152lbs,Right,75,CM,1,"Jul 11, 2024",N/A,€2.5M,€18K,€5.7M,318,77,68,53,80,40,371,69,78,75,79,70,322,68,44,65,69,76,360,77,64,79,63,77,329,64,67,65,76,57,58,199,65,68,66,48,9,13,11,8,7,1947,404,3,2,N/A,N/A,1,Normal (170-185),No,55,70,78,69,65,67
