Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Mykola Shaparenko,"CM, CAM, CDM, CAM",Premier League (Ukraine),2015,2025,25,79,82,244374,"178cm / 5'10""",72kg / 159lbs,Right,81,CAM,3,"Jul 10, 2015",N/A,€23M,€26K,€52.3M,340,73,70,53,82,62,389,81,74+2,73-1,81+1,80,394,81,77,82,79,75,362,74,71,77,63,77,365,78,71,74,81,61,70,205,69,69,67,58,13,6,12,14,13,2113,448,3,3,N/A,N/A,1,Lean (170-185),No,79,72,79,80,68,70
Heorhii Sudakov,"CAM, CM, CAM",Premier League (Ukraine),2019,2028,21,79+1,86,259913,"177cm / 5'10""",68kg / 150lbs,Right,81,CAM,7,"Jul 1, 2019",N/A,€35.5M,€21K,€85.2M,358,72+2,72,68,77+1,69+2,379,83,71+2,68,76+1,81+1,397,82+1,80+2,80+1,78+2,77+2,382,79,79,76+1,68,80,353,66+2,57+2,76+2,79+1,75+5,71,172,61,55+1,56,56,13,9,13,12,9,2097,442,5,3,N/A,N/A,1,Normal (170-185),No,81,75,76,81,59,70
Vitaliy Buyalskyi,"CAM, CM, CAM",Premier League (Ukraine),2010,2025,31,77,77,244373,"170cm / 5'7""",61kg / 134lbs,Right,77,CAM,0,"Jul 1, 2010",N/A,€8.5M,€24K,€18.7M,308,65,71,38,77,57,360,80,66,65,76,73,400,71,77,84,80,88,321,69,51,80,47,74,352,50,70,78,81,73,73,217,69,75,73,51,14,11,10,11,5,2009,421,4,3,N/A,N/A,1,Lean (170-),No,74,71,74,78,68,56
Mykola Matviienko,"CB, LB, CB",Premier League (Ukraine),2015,2027,28,77,77,229528,"182cm / 6'0""",74kg / 163lbs,Left,77,CB,0,"Jul 1, 2015",N/A,€9M,€23K,€19.8M,320,68,51,76,79,46+4,324,68,54+7,55+1,78+1,69+1,369,76+1,78,71,75+1,69,368,73,87+2,76,76+1,56,323,75+2,76,63,60,49+4,72,234,77+1,80,77,45,10,10,5,9,11,1983,427,3,2,N/A,N/A,1,Normal (170-185),No,77,57,70,69,78,76
Georgiy Bushchan,"GK, GK",Premier League (Ukraine),2011,2026,30,76,76,244385,"196cm / 6'5""",84kg / 185lbs,Right,76,GK,0,"Jul 1, 2011",N/A,€5M,€14K,€11M,84,12,5,10,50,7,112,14,13,11,52,22,201,28,32,35,77,29,230,61,62,26,73,8,117,24,13,10,57,13,53,35,14,10,11,380,77,68,81,75,79,1159,410,3,1,N/A,N/A,1,Lean (185+),No,77,68,81,79,30,75
Oleksandr Zubkov,"RM, RW, RM",Premier League (Ukraine),2022,2027,27,76,76,237055,"182cm / 6'0""",78kg / 172lbs,Left,76,RM,0,"Aug 5, 2022",N/A,€8M,€22K,€17.6M,326,71,74,56,68,57,366,82,71,67,69,77,371,78,87,65,75,66,351,78,72,67,65,69,292,53,34,76,74,55,60,67,15,28,24,44,11,9,10,9,5,1817,393,4,4,N/A,N/A,1,Normal (170-185),No,83,72,70,77,28,63
Artem Bondarenko,"CAM, CM, CAM",Premier League (Ukraine),2019,2028,23,76,82,255074,"182cm / 6'0""",74kg / 163lbs,Left,78,CAM,6,"Jul 1, 2019",N/A,€12M,€19K,€28.8M,336,67,69,62,79,59,355,79,62,64,73,77,350,73,76,69,76,56,344,73,71,69,60,71,349,64,67,73,76,69,70,183,61,64,58,60,13,14,11,8,14,1977,422,2,3,N/A,N/A,1,Lean (170-185),No,75,70,74,76,63,64
Andriy Yarmolenko,"RM, ST, CAM",Premier League (Ukraine),2023,2025,34,75,75,194794,"189cm / 6'2""",81kg / 179lbs,Left,76,CAM,0,"Jul 1, 2023",N/A,€2.6M,€21K,€5.7M,372,77,78,67,76,74,387,79,81,74,74,79,321,59,60,63,78,61,371,82,74,61,77,77,366,74,54,78,75,85,74,102,37,35,30,39,9,5,6,5,14,1958,405,2,4,N/A,N/A,3,Normal (185+),Yes,60,79,76,76,42,72
Denys Popov,"CB, CB",Premier League (Ukraine),2017,2025,25,75,79,245132,"185cm / 6'1""",81kg / 179lbs,Right,77,CB,4,"Jul 1, 2017",N/A,€7M,€19K,€15.9M,248,29,38,80,73,28,239,64+1,22,21,71,61+1,314,62+2,66,56+3,71+1,59,328,57+7,84+1,68+2,79+2,40,256,80,72,33+1,34,37,66,223,73,76,74,51,7,15,7,13,9,1659,371,4,2,N/A,N/A,1,Normal (185+),No,64,41,51,63,75,77
Taras Stepanenko,"CDM, CM, CDM",Premier League (Ukraine),2010,2025,34,75,75,206413,"181cm / 5'11""",76kg / 168lbs,Left,75,CDM,0,"Jul 1, 2010",N/A,€1.9M,€20K,€4.2M,322,63,51,72,80,56,333,66,60,59,76,72,332,65,63,63,68,73,356,71,79,71,75,60,335,82,75,60,66,52,76,220,73,74,73,60,15,13,9,14,9,1958,411,3,3,N/A,N/A,1,Normal (170-185),No,64,58,71,68,74,76
