Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Kasper Schmeichel,"GK, GK",Premiership (Scotland),2024,2025,37,80,80,163587,"189cm / 6'2""",90kg / 198lbs,Right,80,GK,0,"Jul 18, 2024",N/A,€2.3M,€25K,€3.9M,116,18,12,16,55,15,138,12,13,15,58,40,269,38,47,57,80,47,237,59,65,31,68,14,163,45,20,13,59,26,65,41,14,14,13,390,77,76,79,80,78,1354,432,3,1,N/A,N/A,3,Stocky (185+),Yes,77,76,79,78,42,80
Callum McGregor,"CDM, CM, CM",Premiership (Scotland),2009,2028,31,79,79,211093,"178cm / 5'10""",74kg / 163lbs,Left,80,CM,0,"Jul 7, 2009",N/A,€12.5M,€61K,€21.3M,349,67,73,52,84,73,372,75,74,62,78,83,410,82,77,84,80,87,391,79,73,93,70,76,371,80,70,77,79,65,83,219,75,73,71,54,15,10,8,8,13,2166,460,4,4,N/A,N/A,1,Normal (170-185),Yes,79,75,77,80,71,78
James Tavernier,"RB, RB",Premiership (Scotland),2015,2027,32,78,78,195479,"182cm / 6'0""",75kg / 165lbs,Right,78,RB,0,"Jul 20, 2015",N/A,€9.5M,€55K,€17.1M,370,83,65,68,77,77,399,75,83,85,79,77,397,78,84,76,75,84,405,79,82,89,79,76,382,70,72,76,78,86,77,210,68,72,70,59,15,13,8,11,12,2222,458,2,3,N/A,N/A,1,Normal (185+),Yes,81,72,79,76,70,80
Cameron Carter-Vickers,"CB, CB",Premiership (Scotland),2022,2029,26,77,81,228174,"183cm / 6'0""",92kg / 203lbs,Right,79,CB,4,"Jul 1, 2022",N/A,€13M,€50K,€23.1M,237,37,24,74,76,26,272,65,36,30,70,71,394,77,82,77,80,78,339,65,91,72,90,21,274,80,72,27,57,38,77,224,76,76,72,53,13,6,8,16,10,1793,401,3,2,N/A,N/A,1,Stocky (170-185),Yes,80,33,59,70,75,84
Kyogo Furuhashi,"ST, ST",Premiership (Scotland),2021,2027,29,77,77,245538,"170cm / 5'7""",63kg / 139lbs,Right,77,ST,0,"Jul 16, 2021",N/A,€10.5M,€59K,€17.9M,360,61,80,73,69,77,347,69,70,65,67,76,430,87,83,91,79,90,370,80,78,85,53,74,327,69,41,82,70,65,77,145,45,51,49,50,8,7,8,13,14,2029,419,5,3,N/A,N/A,1,Lean (170-),Yes,85,78,67,75,49,65
Jack Butland,"GK, GK",Premiership (Scotland),2023,2027,31,77,77,203042,"196cm / 6'5""",95kg / 209lbs,Right,77,GK,0,"Jul 1, 2023",N/A,€5.5M,€34K,€9.9M,101,11,16,12,50,12,136,21,12,14,53,36,270,53,50,49,70,48,244,56,71,29,75,13,168,39,20,13,53,43,60,39,15,13,11,380,78,75,74,76,77,1338,432,4,1,N/A,N/A,2,Normal (185+),Yes,78,75,74,77,52,76
Reo Hatate,"CM, CAM, CAM",Premiership (Scotland),2022,2028,26,76,79,255742,"172cm / 5'8""",70kg / 154lbs,Right,79,CAM,3,"Jan 1, 2022",N/A,€9.5M,€49K,€16.9M,344,64,69,52,79,80,362,74,67,64,78,79,396,77,65,84,80,90,364,82,69,72,64,77,359,67,65,77,79,71,80,191,66,66,59,38,5,7,8,12,6,2054,428,4,4,N/A,N/A,1,Normal (170-185),Yes,70,74,75,78,64,67
Alistair Johnston,"RB, RB",Premiership (Scotland),2023,2027,25,76,79,256107,"180cm / 5'11""",77kg / 170lbs,Right,76,RB,3,"Jan 1, 2023",N/A,€9M,€44K,€16M,299,72,55,62,76,34,317,67,66,37,73,74,378,76,82,75,75,70,361,68,79,85,76,53,357,85,66,71,75,60,74,221,74,75,72,53,8,9,14,11,11,1986,430,3,2,N/A,N/A,1,Normal (170-185),Yes,79,57,72,71,71,80
Robin Pröpper,"CB, CB",Premiership (Scotland),2024,2027,30,76,76,208462,"191cm / 6'3""",78kg / 172lbs,Right,76,CB,0,"Aug 1, 2024",N/A,€6M,€49K,€10.8M,266,40,44,80,68,34,319,54,62,67,76,60,273,40,63,54,72,44,367,74,78,75,82,58,311,78,74,52,63,44,74,231,80,76,75,53,11,8,6,14,14,1820,381,4,2,N/A,N/A,1,Normal (185+),No,53,53,62,57,77,79
Greg Taylor,"LB, LB",Premiership (Scotland),2019,2025,26,75,76-1,226508,"171cm / 5'7""",68kg / 150lbs,Left,75,LB,1,"Sep 2, 2019",N/A,€6M,€44K,€10.7M,305,66,47,66,79,47,350,69,73,62,72,74,380,69,74,79,75,83,351,72,72,86,67,54,353,76,67,75,76,59,79,217,73,73,71,57,9,14,13,12,9,2013,419,3,3,N/A,N/A,1,Lean (170-185),Yes,72,55,74,73,71,74
