Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Olávio Vieira dos Santos Júnior,"ST, LW, ST",Premyer Liqa (Azerbaijan),2023,2026,27,73,73,235371,"179cm / 5'10""",74kg / 163lbs,Right,73,ST,0,"Jul 1, 2023",N/A,€3.3M,€19K,€7.3M,328,60,77,71,64,56,302,69,57,58,48,70,382,86,86,75,68,67,358,78,76,68,66,70,285,44,30,75,66,70,70,68,26,22,20,52,12,6,11,9,14,1775,384,5,3,N/A,N/A,1,Normal (170-185),No,86,74,61,70,30,63
Yassine Benzia,"CAM, CM, CAM",Premyer Liqa (Azerbaijan),2023,2025,29,71,71,206436,"179cm / 5'10""",77kg / 170lbs,Right,71,CAM,0,"Jan 27, 2023",N/A,€1.8M,€18K,€4M,331,64,68,61,69,69,361,73,77,71,70,70,350,68,64,77,69,72,319,71,65,61,55,67,339,62,55,70,76,76,72,117,33,46,38,51,6,9,14,13,9,1868,380,4,4,N/A,N/A,1,Normal (170-185),No,66,69,70,72,45,58
Leandro Livramento Andrade,"RW, CAM, CAM",Premyer Liqa (Azerbaijan),2022,2027,24,70,73,72866,"176cm / 5'9""",70kg / 154lbs,Right,71,CAM,3,"Jan 13, 2022",N/A,€2.2M,€15K,€5M,319,67,69,62,60,61,323,73,61,54,61,74,368,77,74,76,68,73,331,71,72,65,58,65,280,56,26,71,70,57,65,74,24,27,23,54,8,9,12,13,12,1749,368,4,3,N/A,N/A,1,Lean (170-185),No,75,68,63,73,29,60
Abdellah Zoubir,"LW, LM, CAM, CAM",Premyer Liqa (Azerbaijan),2018,2027,32,70,70,212934,"180cm / 5'11""",75kg / 165lbs,Right,71,CAM,0,"Jun 26, 2018",N/A,€1.3M,€17K,€2.9M,322,62,67,62,69,62,327,75,59,49,71,73,357,76,73,77,65,66,338,68,74,69,62,65,267,37,29,69,73,59,59,91,27,33,31,67,8,15,15,14,15,1769,372,4,3,N/A,N/A,1,Lean (170-185),No,74,66,67,73,33,59
Fabijan Buntić,"GK, GK",Premyer Liqa (Azerbaijan),2024,2027,27,70,72,234877,"194cm / 6'4""",91kg / 201lbs,Left,70,GK,2,"Jul 1, 2024",N/A,€1.5M,€9K,€3.4M,79,10,15,14,24,16,66,6,10,10,22,18,158,22,27,24,62,23,200,52,56,19,66,7,98,33,10,4,38,13,30,40,14,14,12,347,70,68,69,69,71,988,371,2,1,N/A,N/A,1,Normal (185+),No,70,68,69,71,24,69
Shahruddin Magomedaliyev,"GK, GK",Premyer Liqa (Azerbaijan),2024,2025,30,70,70,278145,"185cm / 6'1""",82kg / 181lbs,Right,70,GK,0,"Jul 18, 2024",N/A,€1.1M,€10K,€2.4M,55,14,5,10,21,5,71,11,11,10,22,17,261,54,33,59,67,48,210,49,65,24,64,8,97,39,7,8,29,14,33,35,9,12,14,345,70,69,65,68,73,1074,391,2,1,N/A,N/A,1,Normal (185+),No,70,69,65,73,46,68
Badavi Hüseynov,"CB, CB",Premyer Liqa (Azerbaijan),2012,2025,32,69,69,210876,"185cm / 6'1""",81kg / 179lbs,Right,69,CB,0,"Aug 31, 2012",N/A,€900K,€15K,€2M,215,31,22,68,73,21,262,51,44,29,74,64,303,60,62,55,69,57,284,53,73,61,74,23,218,60,71,27,28,32,70,203,69,68,66,54,14,7,11,13,9,1539,336,3,2,N/A,N/A,1,Lean (185+),No,61,29,52,57,69,68
Marko Vešović,"RB, RB",Premyer Liqa (Azerbaijan),2021,2025,32,69,69,215720,"177cm / 5'10""",73kg / 161lbs,Right,69,RB,0,"Jul 16, 2021",N/A,€975K,€15K,€2.1M,309,66,54,59,68,62,305,70,63,41,64,67,375,78,79,80,66,72,323,59,75,69,70,50,305,71,60,64,66,44,69,196,63,68,65,49,9,15,10,5,10,1862,403,3,3,N/A,N/A,1,Lean (170-185),No,79,55,65,70,64,70
Matheus de Barros da Silva,"RB, CB, RB",Premyer Liqa (Azerbaijan),2023,2025,26,69,70,257265,"182cm / 6'0""",73kg / 161lbs,Right,69,RB,1,"Aug 21, 2023",N/A,€1.5M,€14K,€3.4M,265,65,44,64,64,28,286,70,51,34,63,68,371,83,82,72,66,68,332,66,78,70,65,53,261,72,62,52,42,33,67,195,64,64,67,50,5,10,13,7,15,1760,390,3,3,N/A,N/A,1,Normal (170-185),No,82,49,58,69,64,68
Toral Bayramov,"LB, RB, LM",Premyer Liqa (Azerbaijan),2020,2026,23,68,74,72868,"185cm / 6'1""",79kg / 174lbs,Left,69,LM,6,"Jan 1, 2020",N/A,€1.8M,€12K,€4.3M,283,69,53,55,64,42,331,69,61,65,68,68,342,75,71,68,65,63,328,66,71,69,67,55,335,63,66,61,67,78,61,187,63,63,61,49,6,8,11,15,9,1855,394,3,3,N/A,N/A,1,Lean (185+),No,73,57,66,68,63,67
