Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Diogo Meireles Costa,"GK, GK",Primeira Liga (Portugal),2016,2027,24,84,90,234577,"187cm / 6'2""",84kg / 185lbs,Right,84,GK,6,"Jul 1, 2016",N/A,€54M,€14K,€118.8M,88,13,6,11,50,8,123,18,10,10,55,30,232,33,39,42,83,35,223,62,61,28,63,9,140,23,18,18,67,14,44,43,19,13,11,412,83,78,82,83,86,1261,447,2,1,N/A,N/A,3,Normal (170-185),Yes,83,78,82,86,35,83
Viktor Gyökeres,"ST, LW, ST",Primeira Liga (Portugal),2023,2028,26,84,87,241651,"189cm / 6'2""",94kg / 207lbs,Right,87,ST,3,"Jul 13, 2023",N/A,€56M,€27K,€116.2M,375,61,86,81,73,74,343,80,70,59,52,82,418,88,92,77,84,77,442,85,95,93,91,78,356,87,28,83,77,81,82,84,34,34,16,56,10,13,11,14,8,2074,447,5,3,N/A,N/A,3,Stocky (185+),Yes,90,83,67,80,36,91
Ángel Di María,"RM, CAM, RW, CAM",Primeira Liga (Portugal),2023,2025,36,83,83,183898,"180cm / 5'11""",69kg / 152lbs,Left,84,CAM,0,"Jul 5, 2023",N/A,€12M,€18K,€24M,374,81,76,53,86,78,440,89,92,88,81,90,391,78,74,88,77,74,367,82,69,69,61,86,364,72,42,80,87,83,89,148,41,55,52,51,10,7,11,12,11,2135,443,2,5,N/A,N/A,3,Unique,Yes,76,80,85,88,48,66
Pedro António Pereira Gonçalves,"LW, CAM, CM, CAM",Primeira Liga (Portugal),2020,2027,26,83,84,240950,"173cm / 5'8""",78kg / 172lbs,Right,85,CAM,1,"Aug 18, 2020",N/A,€43M,€24K,€89.2M,390,83,84,59,85,79,411,84,82,81,80,84,412,80,76,85,84,87,379,78,72,84,62,83,387,64,71,85,85,82,85,176,63,65,48,56,15,11,15,7,8,2211,459,4,4,N/A,N/A,3,Normal (170-185),Yes,78,82,84,84,63,68
Eduardo Gabriel Aquino Cossa,"CAM, RM, LM, CAM",Primeira Liga (Portugal),2021,2027,27,82,82,238896,"173cm / 5'8""",72kg / 159lbs,Right,82,CAM,0,"Jul 1, 2021",N/A,€32.5M,€25K,€65M,342,75,78,42,78,69,364,86,67,53,72,86,426,86,87,91,82,80,343,68,62,89,52,72,355,55,74,81,80,65,73,175,70,57,48,52,14,6,13,10,9,2057,445,2,4,N/A,N/A,3,Normal (170-185),No,87,74,75,85,62,62
Nicolás Otamendi,"CB, CB",Primeira Liga (Portugal),2020,2025,36,81,81,192366,"183cm / 6'0""",78kg / 172lbs,Right,81,CB,0,"Sep 29, 2020",N/A,€4.6M,€14K,€9.2M,315,52,54,79,73,57,278,51,50,39,72,66,314,54,64,58,80,58,374,69,87,81,81,56,328,89,84,48,62,45,79,246,84,83,79,48,12,5,8,11,12,1903,406,3,2,N/A,N/A,3,Normal (170-185),Yes,60,57,64,59,83,83
Orkun Kökçü,"CM, CAM, CDM, CM",Primeira Liga (Portugal),2023,2028,23,81,85,243245,"175cm / 5'9""",72kg / 159lbs,Right,84,CM,4,"Jul 1, 2023",N/A,€36.5M,€17K,€75.7M,347,78,72,41,84,72,412,78,82,82,85,85,379,75,69,78,77,80,387,81,66,83,73,84,391,78,74,77,84,78,80,210,70,71,69,43,9,6,10,6,12,2169,456,5,3,N/A,N/A,3,Normal (170-185),Yes,72,77,83,80,68,76
Ricardo Jorge da Luz Horta,"CAM, LM, RM, CAM",Primeira Liga (Portugal),2017,2028,29,81,81,213516,"173cm / 5'8""",63kg / 139lbs,Right,81,CAM,0,"Jul 19, 2017",N/A,€25.5M,€23K,€51M,375,77,79,55,82,82,396,81,81,80,74,80,410,82,78,83,82,85,380,78,72,83,63,84,368,69,55,83,84,77,73,111,32,44,35,47,7,9,10,8,13,2087,434,3,3,N/A,N/A,3,Lean (170-185),No,80,80,80,81,43,70
Vangelis Pavlidis,"ST, ST",Primeira Liga (Portugal),2024,2029,25,80,83,229188,"186cm / 6'1""",78kg / 172lbs,Right,82,ST,3,"Jul 1, 2024",N/A,€28.5M,€19K,€59.1M,369,57,85,77,74,76,346,75-4,68,54,71,78,378,76,75,71,79,77,410,83,82,86,81,78,325,77,30,81,67,70,77,125,44,44,37,61,13,11,10,13,14,2014,426,4,3,N/A,N/A,1,Normal (185+),No,75,82,67,76,44,82
Fredrik Aursnes,"CM, LM, RB, CM",Primeira Liga (Portugal),2022,2027,28,80,80,231913,"179cm / 5'10""",71kg / 157lbs,Right,80,CM,0,"Aug 24, 2022",N/A,€21M,€19K,€42M,349,76,70,65,79,59,373,77,72,63,79,82,388,73,75,80,83,77,384,69,78,92,77,68,382,80,78,79,79,66,82,226,76,75-4,75,61,12,14,14,8,13,2163,455,3,3,N/A,N/A,2,Lean (170-185),No,74,69,77,79,75,81
Florentino Morris Luís,"CDM, CM, CDM",Primeira Liga (Portugal),2017,2027,24,80,84,234569,"184cm / 6'0""",76kg / 168lbs,Right,81,CDM,4,"Jul 1, 2017",N/A,€27.5M,€15K,€57.1M,258,41,35,67,79,36,310,72,44,44,76,74,324,55,55,73,76,65,354,65,72,82,77,58,336,78,84,67,69,38,76,241,80,82,79,58,6,14,14,10,14,1881,398,2,2,N/A,N/A,1,Lean (170-185),Yes,55,47,65,73,80,78
Wenderson Nascimento Galeno,"LM, LW, LB, LM",Primeira Liga (Portugal),2022,2026,26,80,80,239482,"179cm / 5'10""",62kg / 137lbs,Right,80,LM,0,"Feb 1, 2022",N/A,€23M,€21K,€46M,329,70,78,41,75,65,375,83,78,70,64,80,431,92,94,88,84,73,366,75,69,82,66,74,310,56,45,80,70,59,85,102,34,39,29,58,13,6,13,11,15,1971,427,3,4,N/A,N/A,1,Normal (170-185),No,93,75,71,82,38,68
Nuno Miguel Gomes dos Santos,"LM, LB, LW, LM",Primeira Liga (Portugal),2020,2027,29,80,80,227890,"177cm / 5'10""",71kg / 157lbs,Left,80,LM,0,"Aug 21, 2020",N/A,€20.5M,€19K,€41M,376,79,79,59,75,84,390,80,79,78,73,80,389,83,80,78,78,70,392,86,76,80,69,81,376,79,70,80,76,71,74,207,73,70,64,53,14,7,8,9,15,2183,460,2,5,N/A,N/A,1,Normal (170-185),No,81,81,76,79,69,74
Morten Hjulmand,"CDM, CM, CM",Primeira Liga (Portugal),2023,2028,25,80,86,244669,"185cm / 6'1""",78kg / 172lbs,Right,81,CM,6,"Aug 13, 2023",N/A,€29.5M,€17K,€64.9M,311,68,60,60,81,42,360,73,68,61,79,79,343,65,65,60,79,74,399,79,76,87,82,75,365,83,82,75,78,47,77,222,75,77,70,44,11,6,10,11,6,2044,439,3,3,N/A,N/A,1,Normal (185+),Yes,65,66,76,74,75,83
Gonçalo Bernardo Inácio,"CB, LB, CB",Primeira Liga (Portugal),2019,2027,22,80,87,257179,"185cm / 6'1""",81kg / 179lbs,Left,82,CB,7,"Jul 1, 2019",N/A,€40M,€15K,€88M,261,30,23,84,79,45,283,69,29,27,85,73,365,79,81,73,77,55,337,67,85,78,79,28,345,78,78,74,75,40,75,243,82,82,79,36,6,6,7,10,7,1870,412,2,2,N/A,N/A,1,Normal (185+),No,80,37,64,71,81,79
Alexander Bah,"RB, RWB",Primeira Liga (Portugal),2022,2027,26,79,82,245235,"183cm / 6'0""",75kg / 165lbs,Right,80,RWB,3,"Jul 1, 2022",N/A,€21M,€16K,€43.6M,330,75,59,71,71,54,358,75,75,64,70,74,406,89,92,77,78,70,392,81,82,86,78,65,361,84,79,72,75,51,76,220,72,74,74,52,6,12,12,9,13,2119,458,5,3,N/A,N/A,1,Normal (170-185),Yes,91,65,72,75,74,81
António João Tavares Silva,"CB, CB",Primeira Liga (Portugal),2022,2027,20,79,87,270086,"187cm / 6'2""",82kg / 181lbs,Right,81,CB,8,"Apr 2, 2022",N/A,€36M,€12K,€79.2M,281,45,31,77,77,51,280,69,36,26,76,73,353,78,81,57,79,58,331,60,83,83,83,22,291,70,78,34,69,40,77,239,80,81,78,44,12,10,8,6,8,1819,409,2,2,N/A,N/A,2,Normal (185+),Yes,80,37,64,69,79,80
Hidemasa Morita,"CM, CDM, CM",Primeira Liga (Portugal),2022,2026,29,79,79,242087,"177cm / 5'10""",76kg / 168lbs,Right,79,CM,0,"Jul 1, 2022",N/A,€17M,€18K,€34M,327,70,75,47,81,54,370,80,72,57,81,80,364,68,69,75,79,73,373,72,67,85,75,74,361,75,80,77,77,52,80,227,76,77,74,44,6,10,13,7,8,2066,447,5,3,N/A,N/A,1,Normal (170-185),No,69,72,76,79,74,77
Francisco Trincão,"RW, CAM, LW, CAM",Primeira Liga (Portugal),2023,2026,24,79,85,244778,"184cm / 6'0""",74kg / 163lbs,Left,81,CAM,6,"Jul 1, 2023",N/A,€27.5M,€16K,€60.5M,357,69,79,66,75,68,392,84,82,74,68,84,390,77,78,84,77,74,350,75,72,69,57,77,312,50,35,80,80,67,81,107,37,36,34,42,5,9,6,15,7,1950,410,2,4,N/A,N/A,1,Lean (170-185),Yes,78,77,74,83,39,59
Matheus Lima Magalhães,"GK, GK",Primeira Liga (Portugal),2014,2027,31,79,79,208104,"190cm / 6'3""",84kg / 185lbs,Right,79,GK,0,"Jul 1, 2014",N/A,€9.5M,€12K,€19M,81,15,12,14,27,13,103,12,21,12,36,22,259,44,47,45,75,48,247,61,68,32,71,15,122,19,26,12,52,13,46,51,16,20,15,395,82,75,81,77,80,1258,440,3,1,N/A,N/A,1,Normal (185+),No,82,75,81,80,45,77
Jan-Niklas Beste,"LM, LB, LM",Primeira Liga (Portugal),2024,2029,25,78,81,240451,"175cm / 5'9""",66kg / 146lbs,Left,79,LM,3,"Jul 12, 2024",N/A,€18.5M,€15K,€38.4M,320,88,74,41,75,42,403,77,88,88,75,75,386,80,76,82,67,81,352,77,60,86,55,74,327,62,62,70,75,58,70,184,62,61,61,50,13,8,7,14,8,2022,429,3,3,N/A,N/A,1,Lean (170-185),Yes,78,72,79,76,60,64
Anatoliy Trubin,"GK, GK",Primeira Liga (Portugal),2023,2028,22,78,86,250753,"199cm / 6'6""",86kg / 190lbs,Right,78,GK,8,"Aug 10, 2023",N/A,€27.5M,€8K,€60.5M,75,11,9,12,37,6,100,13,13,13,32,29,238,49,38,36,70,45,235,58,67,33,69,8,125,28,9,6,64,18,50,31,9,11,11,391,72,76,77,84,82,1195,436,2,1,N/A,N/A,1,Lean (185+),No,72,76,77,82,45,84
Kerem Aktürkoğlu,"LM, LW, CAM",Primeira Liga (Portugal),2024,2029,25,78+1,79+1,258580,"173cm / 5'8""",68kg / 150lbs,Right,79,CAM,1,"Sep 2, 2024",N/A,€17M,€15K,€35.3M,325,69+1,75+3,52,74+3,55,373,80,77,78,66,72,420,88,84,88,80+3,80,341,72,62,86,44,77,295,46,24,82,79+5,64,72+4,109,25,43,41,47,11,7,12,9,8,1910,402,3,4,N/A,N/A,1,Normal (170-185),No,86,74,73,78,35,56
Nicolás González Iglesias,"CDM, CM, CM",Primeira Liga (Portugal),2023,2028,22,78,85,255069,"188cm / 6'2""",85kg / 187lbs,Right,79,CM,7,"Jul 29, 2023",N/A,€27M,€15K,€59.4M,340,65,66,69,82,58,354,77,62,59,77,79,325,63,68,64,76,54,380,76,78,76,82,68,356,80,73,71,78,54,74,216,73,75,68,57,14,14,10,12,7,2028,437,3,3,N/A,N/A,1,Normal (185+),Yes,66,68,75,75,73,80
Alan Varela,"CDM, CM, CDM",Primeira Liga (Portugal),2023,2028,22,78,84,260599,"177cm / 5'10""",73kg / 161lbs,Right,79,CDM,6,"Aug 16, 2023",N/A,€21M,€15K,€46.2M,321,66,54,57,81,63,351,70,78,53,74,76,356,69,66,71,75,75,368,78,72,82,74,62,360,84,76,65,73,62,80,225,78,73,74,51,8,11,14,5,13,2032,428,3,3,N/A,N/A,1,Normal (170-185),Yes,67,62,74,73,74,78
Matheus Reis de Lima,"CB, LB, LM, CB",Primeira Liga (Portugal),2021,2026,29,78,79,230625,"184cm / 6'0""",80kg / 176lbs,Left,79,CB,1,"Jul 1, 2021",N/A,€13M,€16K,€27M,318,77,50,70,76,45,339,79,72,47,64,77,365,76,78,76,76,59,371,65,84,82,83,57,333,82,79,62,60,50,76,236,80,78,78,51,6,14,10,7,14,2013,440,2,3,N/A,N/A,1,Normal (170-185),No,77,55,70,77,78,83
Marcus Edwards,"RW, LW, ST, CAM",Primeira Liga (Portugal),2022,2026,25,78,81,235619,"167cm / 5'6""",71kg / 157lbs,Left,79,CAM,3,"Jan 31, 2022",N/A,€18.5M,€16K,€38.4M,320,71,71,37,72,69,363,84,76,60,60,83,431,87,84,92,78,90,304,70,53,73,39,69,277,40,30,74,75,58,73,84,32,28,24,55,7,12,15,15,6,1834,387,2,4,N/A,N/A,1,Normal (170-),Yes,85,70,70,84,30,48
Daniel Santos Bragança,"CM, CDM, CAM, CAM",Primeira Liga (Portugal),2018,2027,25,78,83,252143,"178cm / 5'10""",72kg / 159lbs,Left,81,CAM,5,"Jul 1, 2018",N/A,€20.5M,€15K,€42.5M,335,65,76,49,82,63,390,80,76,73,79,82,395,79,81,77,77,81,331,66,65,70,58,72,348,59,72,72,79+1,66,75,204,64,71,69,54,6,12,14,11,11,2057,438,3,4,N/A,N/A,1,Lean (170-185),No,80,72,77,80,67,62
Ousmane Diomande,"CB, CB",Primeira Liga (Portugal),2023,2027,20,78,86,270531,"190cm / 6'3""",93kg / 205lbs,Right,80,CB,8,"Jan 31, 2023",N/A,€29M,€11K,€63.8M,220,28,20,74,74,24,273,71,25,24,76,77,372,78,82,63,78,71,313,40,89,76,86,22,256,83,72,24,38,39,74,235,76,81,78,41,8,6,15,6,6,1710,392,3,2,N/A,N/A,1,Normal (185+),No,80,26,53,73,77,83
Renato Júnior Luz Sanches,"CM, CDM, CAM",Primeira Liga (Portugal),,"Jun 30, 2025 On loan",26,77,78,230767,"176cm / 5'9""",70kg / 154lbs,Right,78,CAM,1,"Aug 4, 2022","Jun 30, 2025",€12.5M,€66K,€0,343,74,60,61,80,68,375,80,69,68,78,80,396,79,75,79,76,87,392,85,81,72,78,76,380,84,74,75,79,68,83,210,72,73,65,50,5,12,6,13,14,2146,453,4,4,N/A,N/A,3,Normal (170-185),Yes,77,70,77,80,71,78
Arthur Mendonça Cabral,"ST, ST",Primeira Liga (Portugal),2023,2028,26,77,80,246186,"186cm / 6'1""",82kg / 181lbs,Right,79,ST,3,"Aug 10, 2023",N/A,€14M,€16K,€29.1M,362,50,81,78,74,79,317,72-4,63,48,56,78,354,67,74,71,74,68,400,78,88,74,87,73,305,61,24,77,68,75,75,79,27,27,25,54,12,9,14,13,6,1871,396,4,3,N/A,N/A,1,Normal (185+),Yes,71,78,63,74,31,79
Wendell Nascimento Borges,"LB, LB",Primeira Liga (Portugal),2021,2025,30,77,77,216466,"176cm / 5'9""",70kg / 154lbs,Left,77,LB,0,"Aug 19, 2021",N/A,€9M,€17K,€18M,282,75,49,55,74,29,362,76,70,73,65,78,388,83,81,76,72,76,353,75,74,78,66,60,365,82,76,70,70,67,71,217,67,76,74,54,8,12,6,14,14,2021,431,2,4,N/A,N/A,2,Normal (170-185),Yes,82,57,72,76,71,73
Fábio Daniel Ferreira Vieira,"CAM, CM, CAM",Primeira Liga (Portugal),,"Jun 30, 2025 On loan",24,77,80,256958,"176cm / 5'9""",61kg / 134lbs,Left,79,CAM,3,"Jul 1, 2022","Jun 30, 2025",€14.5M,€83K,€0,334,74,69,46,80,65,377,79,74,68,76,80,363,73,70,77,72,71,318,76,56,62,48,76,325,51,50,73,82,69,76,152,52,56,44,48,9,5,15,13,6,1917,403,3,3,N/A,N/A,1,Lean (170-185),Yes,71,72,78,78,51,53
João Mário Neto Lopes,"RB, RM",Primeira Liga (Portugal),2018,2027,24,77,82,257290,"179cm / 5'10""",66kg / 146lbs,Right,79,RM,5,"Jul 1, 2018",N/A,€15M,€14K,€31.1M,341,80,60,70,73,58,327,77,57,47,68,78,404,86,85,79,79,75,351,68,78,84,60,61,344,58,72,74,73,67,70,206,68,69,69,46,9,5,10,10,12,2019,433,4,3,N/A,N/A,1,Lean (170-185),No,85,63,72,77,69,67
Jeremiah St. Juste,"CB, RB, CB",Primeira Liga (Portugal),2022,2026,27,77,79,226853,"186cm / 6'1""",79kg / 174lbs,Right,79,CB,2,"Jul 1, 2022",N/A,€11M,€14K,€22.8M,313,61,59,70,75,48,302,78,36,42,71,75,416,90,95,82,79,70,341,66,85,68,74,48,346,74,82,64,67,59,68,234,80,78,76,59,12,14,9,13,11,2011,445,3,3,N/A,N/A,2,Lean (185+),No,93,58,66,77,78,73
Geny Cipriano Catamo,"RM, LM, RW, LM",Primeira Liga (Portugal),2020,2028,23,77,84,266097,"173cm / 5'8""",71kg / 157lbs,Left,78,LM,7,"Jul 1, 2020",N/A,€21M,€13K,€46.2M,329,69,72,52,68,68,339,82,70,49,56,82,418,87,89,88,74,80,338,74,66,75,50,73,319,56,65,73+2,72,53,72,191,67,66,58,44,10,7,10,9,8,1978,430,3,4,N/A,N/A,1,Lean (170-185),No,88,72,66,82,64,58
