Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Domenico Berardi,"RW, RM, RW",Serie B (Italy),2015,2027,29,83,83,210935,"183cm / 6'0""",72kg / 159lbs,Left,83,RW,0,"Jul 1, 2015",N/A,€35.5M,€8K,€56.8M,379,76,83,62,80,78,398,84,79,75,76,84,421,80,79,92,84,86,370,80,73,76,61,80,348,85,25,84,78,76,78,102,42,30,30,27,5,6,5,5,6,2045,429,3,4,N/A,N/A,3,Lean (170-185),Yes,79,81,78,85,36,70
Armand Laurienté,"LW, LM, LW",Serie B (Italy),2022,2027,25,78,79,243593,"171cm / 5'7""",59kg / 130lbs,Right,78,LW,1,"Aug 31, 2022",N/A,€17M,€5K,€28.5M,344,75,74,45,75,75,395,84,81,85,65,80,401,79,83,76,76,87,357,81,64,75,59,78,285,47,30,78,74,56,72,106,28,40,38,63,13,13,8,14,15,1951,408,3,4,N/A,N/A,1,Lean (170-185),Yes,81,76,74,81,35,61
Massimo Coda,"ST, ST",Serie B (Italy),2024,2026,35,76,76,185144,"184cm / 6'0""",76kg / 168lbs,Right,76,ST,0,"Jul 15, 2024",N/A,€3.2M,€5K,€5.1M,339,48,80,75,68,68,339,71,71,69,53,75,325,68,53,60,76,68,371,79,82,58,78,74,297,51,36,84,60,66,75,55,22,17,16,59,15,10,7,11,16,1785,365,4,3,N/A,N/A,1,Normal (170-185),No,60,78,60,71,28,68
Fabio Borini,"LW, ST, CAM, LW",Serie B (Italy),2023,2025,33,75,75,186200,"180cm / 5'11""",73kg / 161lbs,Right,75,LW,0,"Jul 10, 2023",N/A,€3.5M,€6K,€5.6M,375,74,76,75,75,75,344,75,72,61,62,74,380,75,70,81,77,77,369,76,80,76,67,70,335,72,30,79,76,78,76,124,68,30,26,43,11,6,8,12,6,1970,412,3,3,N/A,N/A,2,Lean (170-185),Yes,72,75,72,76,46,71
Marco Silvestri,"GK, GK",Serie B (Italy),2024,2025,33,75,75,190745,"191cm / 6'3""",87kg / 192lbs,Right,75,GK,0,"Aug 30, 2024",N/A,€1.8M,€4K,€2.9M,86,12,20,12,22,20,85,18,16,11,20,20,288,58,61,65,70,34,222,45,67,34,60,16,119,31,11,14,47,16,44,42,8,18,16,363,75,75,60,75,78,1205,422,3,1,N/A,N/A,1,Normal (185+),Yes,75,75,60,78,59,75
Gennaro Tutino,"ST, CAM, ST",Serie B (Italy),2024,2028,27,75,75,220528,"177cm / 5'10""",76kg / 168lbs,Right,75,ST,0,"Aug 1, 2024",N/A,€6M,€6K,€9.6M,356,69,79,70,70,68,358,75,67,74,67,75,388,78,84,83,68,75,359,76,78,68,67,70,309,57,33,76,65,78,59,104,36,34,34,49,15,7,7,13,7,1923,404,3,3,N/A,N/A,1,Normal (170-185),No,81,76,68,75,38,66
Federico Di Francesco,"LW, LM, RW, LW",Serie B (Italy),2023,2026,30,75,75,213814,"171cm / 5'7""",71kg / 157lbs,Right,75,LW,0,"Aug 31, 2023",N/A,€5.5M,€6K,€8.8M,339,77,67,50,76,69,371,78,78,69,70,76,393,84,76,83,69,81,358,71,72,79,68,68,328,61,55,75,68,69,74,151,57,48,46,42,11,10,6,10,5,1982,421,4,4,N/A,N/A,1,Lean (170-185),Yes,80,69,73,77,52,70
Jérémy Le Douaron,"ST, LW, ST",Serie B (Italy),2024,2029,26,75,76,257111,"189cm / 6'2""",78kg / 172lbs,Left,76,ST,1,"Aug 30, 2024",N/A,€6.5M,€6K,€10.9M,354,70,75,77,74,58,322,76,60,50,58,78,332,67,65,65,78,57,374,76,82,71,74,71,330,70,52,76,74,58,66,133,44,48,41,48,12,12,6,8,10,1893,405,2,3,N/A,N/A,1,Lean (185+),No,66,73,69,74,50,73
Franco Vázquez,"CAM, ST, CM",Serie B (Italy),2023,2025,35,75,75,207471,"187cm / 6'2""",82kg / 181lbs,Left,76,CM,0,"Jul 17, 2023",N/A,€2.3M,€5K,€3.7M,377,73,78,69,78,79,394,81,80,76,75,82,252,40,44,67,70,31,376,76,69,71,80,80,365,78,66,74,80,67,78,152,45,59,48,58,14,15,13,9,7,1974,406,3,4,N/A,N/A,1,Normal (185+),Yes,42,77,77,77,56,77
Salvatore Sirigu,"GK, GK",Serie B (Italy),2024,2025,37,74,74,168435,"192cm / 6'4""",85kg / 187lbs,Right,74,GK,0,"Aug 24, 2024",N/A,€475K,€2K,€760K,69,13,10,11,23,12,83,15,11,11,28,18,258,46,42,48,71,51,231,51,65,31,70,14,138,34,20,10,55,19,65,38,14,11,13,361,73,69,68,77,74,1178,405,3,1,N/A,N/A,1,Normal (185+),Yes,73,69,68,74,44,77
