Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Victor Osimhen,"ST, ST",Süper Lig (Türkiye),,"Jun 30, 2025 On loan",25,87,89,232293,"186cm / 6'1""",77kg / 170lbs,Right,88,ST,2,"Sep 1, 2020","Jun 30, 2025",€101.5M,€195K,€0,391,62,88,86,72,83,333,80,63,52,54,84,411,85,92,78,89,67,421,86,94,81,86,74,339,68,34,92,70,75,80,103,36,45,22,53,14,14,10,9,6,2051,443,4,3,N/A,N/A,4,Lean (185+),Yes,89,84,65,81,42,82
Mauro Icardi,"ST, ST",Süper Lig (Türkiye),2022,2026,31,83,83,201399,"181cm / 5'11""",79kg / 174lbs,Right,83,ST,0,"Sep 8, 2022",N/A,€30.5M,€83K,€58M,388,51,86,90,79,82,349,72,75,52,69,81,358,66,69,68,84,71,394,85,87,71,79,72,343,65,29,87,81,81,86,97,40,37,20,43,13,9,5,7,9,1972,413,4,3,N/A,N/A,3,Unique,Yes,68,83,71,76,40,75
Lucas Torreira,"CDM, CM, CDM",Süper Lig (Türkiye),2022,2028,28,83,83,223959,"166cm / 5'5""",60kg / 132lbs,Right,83,CDM,0,"Aug 8, 2022",N/A,€32M,€73K,€60.8M,343,71,65,59,83,65,378,78,70,72,77,81,414,80,73,87,84,90,392,80,76,92,73,71,367,88,83,69,79,48,84,248,85,82,81,39,5,5,13,7,9,2181,466,3,3,N/A,N/A,3,Normal (170-),Yes,76,69,78,81,81,81
Youssef En-Nesyri,"ST, ST",Süper Lig (Türkiye),2024,2029,27,83,84,235410,"188cm / 6'2""",78kg / 172lbs,Left,84,ST,1,"Jul 24, 2024",N/A,€42.5M,€80K,€83.9M,381,51,86,90,77,77,338,79,63,56,58,82,352,80,84,67,82,39,415,83,93,83,79,77,323,76,33,85,56,73,75,85,27,31,27,58,13,9,14,9,13,1952,420,3,3,N/A,N/A,3,Normal (185+),Yes,82,82,63,77,36,80
Rafael A. Ferreira Silva,"CAM, ST, RW",Süper Lig (Türkiye),2024,2027,31,83,83,216547,"172cm / 5'8""",66kg / 146lbs,Right,84,RW,0,"Jul 1, 2024",N/A,€30M,€78K,€57M,351,78,79,49,77,68,384,86,81,56,76,85,449,94,93,90,84,88,340,77,62,84,40,77,330,47,58,83,83,59,81,138,52,47,39,51,9,11,11,12,8,2043,437,3,4,N/A,N/A,3,Lean (170-185),Yes,93,77,77,86,50,54
Edin Džeko,"ST, ST",Süper Lig (Türkiye),2023,2025,38,82,82,180930,"193cm / 6'4""",80kg / 176lbs,Right,82,ST,0,"Jul 1, 2023",N/A,€10.5M,€58K,€20M,394,65,84,86,79,80,351,76,65,54,75,81,313,53,60,62,83,55,391,85,77,68,84,77,343,64,50,85,77-1,67,87,98,54,28,16,63,9,11,13,15,15,1953,409,5,3,N/A,N/A,3,Lean (185+),Yes,57,82,73,76,45,76
Dušan Tadić,"LW, RW, CAM, CAM",Süper Lig (Türkiye),2023,2025,35,82-1,82-1,199434,"181cm / 5'11""",76kg / 168lbs,Left,83,CAM,0,"Jul 16, 2023",N/A,€12.5M,€57K,€23.8M,398,86+3,81+1,66,85,80,412,82+1,85,78-1,83,84,377,69+4,70+4,72,84+2,82,397,77,77+1,84,80,79+2,357,67,41,85,88,76,86,111,51,34,26,61,11,11,14,9,16,2113,438,3,4,N/A,N/A,3,Unique,Yes,70,80,85,82,43,78
Filip Kostić,"LM, LB, LM",Süper Lig (Türkiye),,"Jun 30, 2025 On loan",31,82,82,208574,"184cm / 6'0""",84kg / 185lbs,Left,82,LM,0,"Aug 12, 2022","Jun 30, 2025",€25M,€135K,€0,373,87,72,59,80,75,407,83,85,80,78,81,404,84,85,76,80,79,407,86,80,86-2,77,78,367,76,68-1,78,79,66,82,215,69,74,72,64,13,14,12,12,13,2237,472,2,3,N/A,N/A,3,Normal (170-185),Yes,85,76,81,81,70,79
Frederico de Paula Santos,"CM, CDM, CM",Süper Lig (Türkiye),2023,2027,31,82,82,209297,"169cm / 5'7""",62kg / 137lbs,Left,82,CM,0,"Aug 13, 2023",N/A,€25M,€70K,€47.5M,343,75,67,56,82,63,394,81,79,74,78,82,419,80,77,89,85,88,397,79,76,94,74,74,393,85,82,81,81,64,76,231,76,81,74,64,7,16,15,11,15,2241,468,3,4,N/A,N/A,3,Lean (170-),Yes,78,71,79,82,77,81
Ciro Immobile,"ST, ST",Süper Lig (Türkiye),2024,2026,34,82,82,192387,"185cm / 6'1""",85kg / 187lbs,Right,82,ST,0,"Jul 12, 2024",N/A,€15M,€76K,€28.5M,376,55,83,80,78,80,342,78,70,58,57,79,401,80,83,73,82,83,391,85,86,69,73,78,358,73,40,86,71,88,76,99,34,33,32,47,6,8,15,12,6,2014,422,4,3,N/A,N/A,3,Unique,Yes,82,83,67,78,39,73
Fernando Muslera,"GK, GK",Süper Lig (Türkiye),2011,2025,38,81,81,182494,"190cm / 6'3""",74kg / 163lbs,Right,81,GK,0,"Aug 11, 2011",N/A,€2.9M,€24K,€5.5M,91,15,10,12,44,10,123,25,14,10,47,27,268,30,42,55,79,62,233,53,62,40,68,10,148,32,23,13,56,24,60,44,12,16,16,395,81,81,71,82,80,1302,430,2,1,N/A,N/A,3,Normal (185+),No,81,81,71,80,35,82
