Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Hassane Bandé,"LW, RW, ST, LW",Veikkausliiga (Finland),2023,2025,25,68+2,69-2,239718,"178cm / 5'10""",72kg / 159lbs,Right,68,LW,1,"Aug 11, 2023",N/A,€1.4M,€16K,€3.1M,301,56,66,54,61,64,274,68,48,40,52,66,391,85,86,85,65,70,326,65,72,62,63,64,275,60,27,64,64,60,63,71,22,37,12,57,7,9,15,15,11,1695,371,4,3,N/A,N/A,1,Normal (170-185),No,86,65,58,69,30,63
Hans Nunoo Sarpei,"CDM, CB, CDM",Veikkausliiga (Finland),2024,2025,25,67,72,235647,"178cm / 5'10""",72kg / 159lbs,Right,68,CDM,5,"Feb 6, 2024",N/A,€1.4M,€14K,€3.1M,232,46,35,54,68,29,272,59,40,41,61,71,356,70,75,72,67,72,291,52,66,72,67,34,261,68,63,35,52,43,50,201,65,68,68,52,14,9,15,6,8,1665,366,3,2,N/A,N/A,1,Normal (170-185),Yes,73,38,57,65,65,68
Lucas Lingman,"CM, CAM, CAM",Veikkausliiga (Finland),2024,2026,26,66,69,234294,"178cm / 5'10""",72kg / 159lbs,Left,68,CAM,3,"Jan 27, 2024",N/A,€1.1M,€15K,€2.4M,277,63,55,45,69,45,344,69,70,67,68,70,356,65,63,82,64,82,292,57,52,74+2,52,57,284,52,58,59+1,65,50,64,152,51,53,48,59,11,14,9,10,15,1764,367,2,3,N/A,N/A,1,Lean (170-185),No,64,55,67,71,52,58
Alessandro Albanese,"LM, RM, CAM, CAM",Veikkausliiga (Finland),2024,2024,24,66,72,257398,"174cm / 5'9""",70kg / 154lbs,Right,68,CAM,6,"Jul 4, 2024",N/A,€1.4M,€13K,€3.3M,264,58,58,32,63,53,341,72,69,66,64,70,376,80,74,82,55,85,305,68,53,64,52,68,294,70,49,56,64,55,60,143,40,54,49,57,13,9,10,14,11,1780,379,4,3,N/A,N/A,1,Normal (170-185),No,77,62,63,72,46,59
Aapo Halme,"CB, CDM, CB",Veikkausliiga (Finland),2022,2024,26,65,70,234290,"196cm / 6'5""",78kg / 172lbs,Right,67,CB,5,"Jul 25, 2022",N/A,€925K,€14K,€2.1M,196,25,16,66,64,25,220,54,23,24,57,62,227,45,48,39,62,33,255,31,70,58,78,18,227,71,66,27,32,31,62,184,60,62,62,55,12,6,11,12,14,1364,302,3,2,N/A,N/A,1,Lean (185+),No,47,21,45,55,63,71
Daniel O'Shaughnessy,"CB, CB",Veikkausliiga (Finland),2024,2025,29,64,64,221486,"190cm / 6'3""",84kg / 185lbs,Left,64,CB,0,"Jul 1, 2024",N/A,€500K,€15K,€1.1M,241,56,34,63,62,26,237,45,42,34,58,58,233,43,49,43,58,40,266,49,66,34,75,42,256,63,62,35,53,43,58,194,67,64,63,59,13,16,6,11,13,1486,317,2,2,N/A,N/A,1,Normal (185+),No,46,39,56,50,64,62
Atomu Tanaka,"CAM, LW, CM, CAM",Veikkausliiga (Finland),2020,2024,36,64,64,234293,"167cm / 5'6""",69kg / 152lbs,Right,64,CAM,0,"Mar 2, 2020",N/A,€190K,€12K,€409K,282,60,56,52,64,50,305,63,56,62,60,64,360,67-1,66-1,87,61,79,304,64,59-1,65-2,56,60,288,59,54,67,62,46,65,169,57,58,54,62,13,12,13,9,15,1770,368,3,3,N/A,N/A,1,Normal (170-),No,66,58,62,67,56,59
Ozan Can Kökçü,"CAM, CM, LW, CAM",Veikkausliiga (Finland),2024,2026,25,64,67,239012,"176cm / 5'9""",69kg / 152lbs,Left,66,CAM,3,"Jul 31, 2024",N/A,€775K,€14K,€1.7M,284,54,59,48,74,49,303,62,54,54,68,65,316,70,59,55,58,74,263,65,46,56,39,57,274,69,28,62,64,51,59,149,38,51,60,45,6,9,15,5,10,1634,343,5,3,N/A,N/A,1,Normal (170-185),No,64,59,65,62,43,50
Santeri Hostikka,"LW, RW, CAM, LW",Veikkausliiga (Finland),2021,2024,26,64,64,247286,"183cm / 6'0""",76kg / 168lbs,Right,64,LW,0,"Aug 4, 2021",N/A,€650K,€16K,€1.4M,264,61,58,38,62,45,312,65,65,60,57,65,360,75,78,76,62,69,294,59,55,71,56,53,257,51,30,61,62,53,61,102,35,35,32,53,13,13,11,5,11,1642,353,3,3,N/A,N/A,1,Lean (170-185),No,77,56,61,66,34,59
Joona Toivio,"CB, CB",Veikkausliiga (Finland),2022,2024,36,63,63,172232,"186cm / 6'1""",87kg / 192lbs,Right,63,CB,0,"Jan 1, 2022",N/A,€90K,€11K,€194K,252,55,42,63,57,35,287,47,64,64,56,56,247,44,50,53,57,43,342,77,69,62,78,56,262,66,60,35,42,59,58,181,60,64,57,51,10,14,6,8,13,1622,336,3,2,N/A,N/A,1,Normal (185+),No,47,52,54,51,61,71
Thijmen Nijhuis,"GK, GK",Veikkausliiga (Finland),2024,2025,25,63,68,233725,"197cm / 6'6""",83kg / 183lbs,Right,63,GK,5,"Jul 17, 2024",N/A,€550K,€8K,€1.2M,65,12,6,12,26,9,80,12,14,12,24,18,162,17,18,33,65,29,177,44,48,20,57,8,93,20,12,7,36,18,25,38,10,14,14,307,65,57,58,63,64,922,324,3,1,N/A,N/A,1,Normal (185+),No,65,57,58,64,17,63
Jesse Öst,"GK, GK",Veikkausliiga (Finland),2023,2026,33,63,63,272646,"194cm / 6'4""",86kg / 190lbs,Right,63,GK,0,"Jan 27, 2023",N/A,€160K,€9K,€344K,105,10,7,25,43,20,147,15,35,27,45,25,181,27,31,32,63,28,227,49,64,30,75,9,160,36,23,8,62,31,42,54,12,18,24,314,62,63,65,61,63,1188,343,4,1,N/A,N/A,1,Normal (185+),No,62,63,65,63,29,61
Lee Erwin,"ST, ST",Veikkausliiga (Finland),2024,2028,30,62,62,205311,"188cm / 6'2""",79kg / 174lbs,Right,62,ST,0,"Jul 2, 2024",N/A,€400K,€16K,€860K,274,40,60,62,56,56,246,61,40,39,45,61,316,67,67,69,58,55,335,63,73,69,72,58,250,32,27,62,61,68,60,64,30,15,19,68,16,10,13,15,14,1553,330,3,2,N/A,N/A,1,Normal (185+),No,67,61,51,61,27,63
Kai Meriluoto,"ST, ST",Veikkausliiga (Finland),2022,2025,21,62,70,258032,"183cm / 6'0""",72kg / 159lbs,Right,64,ST,8,"Jan 1, 2022",N/A,€900K,€12K,€2.1M,271,48,64,54,56,49,276,62,56,47,46,65+1,349,76,70,72,62,69,303,62,66,62,57,56,224,45+4,11,62+1,52,54,60,49,15,16,18,54,15,11,11,7,10,1526,325,3,3,N/A,N/A,1,Normal (170-185),No,73,61,52,64,19,56
Luke Plange,"ST, RW, ST",Veikkausliiga (Finland),2022,2025,21,62,70,265793,"178cm / 5'10""",65kg / 143lbs,Right,64,ST,8,"Jan 31, 2022",N/A,€900K,€12K,€2.1M,274,43,64,61,52,54,262,65,54,39,40,64,329,67,69,65,59,69,305,65,65,57+1,58,60,253,40,28,62,58,65,60,90,32,30,28,51,9,13,11,13,5,1564,332,4,3,N/A,N/A,1,Lean (170-185),No,68,63,49,64,33,55
Georgios Kanellopoulos,"CM, CAM",Veikkausliiga (Finland),2023,2025,24,62,69,273712,"185cm / 6'1""",75kg / 165lbs,Right,65,CAM,7,"Jan 27, 2023",N/A,€800K,€12K,€1.9M,266,49,56,48,68,45,304,65,54,53,66,66,343,68,69,70,62,74,292,56,57,67,57,55,258,45,50,58,58,47,60,136,39,50,47,54,5,13,14,12,10,1653,353,3,3,N/A,N/A,1,Normal (185+),No,69,55,60,66,46,57
Noah Pallas,"LB, LM",Veikkausliiga (Finland),2024,2026,23,61,70,274923,"173cm / 5'8""",69kg / 152lbs,Left,62,LM,9,"Jan 27, 2024",N/A,€700K,€11K,€1.6M,246,57+1,46,42,60,41,278,59+1,61,42,58,58+1,351,75,73,64,61,78,281,58,52,66+1,52+1,53,256,57,53,59,49,38,56,165,51,58,56,59,10,11,14,11,13,1636,350,3,2,N/A,N/A,1,Normal (170-185),No,74,50,56,60,53,57
